"strain","num_nodes","mean_diameter","sd_diameter","n","se_diameter","ci_lower","ci_upper"
"Petite",1,0,0,300,0,0,0
"Petite",5,3.27,0.444701245022335,300,0.0256748383522607,3.21947372385812,3.32052627614188
"Petite",10,5.12,0.489624796626531,300,0.0282685008134243,5.06436957854926,5.17563042145074
"Petite",15,6.17666666666667,0.57726337046895,300,0.0333283162333559,6.11107888433104,6.24225444900229
"Petite",20,6.88333333333333,0.575173862522733,300,0.0332076784358337,6.81798295769866,6.948683708968
"Petite",25,7.48,0.597878076182706,300,0.0345185068226661,7.41207000629183,7.54792999370817
"Petite",30,8.01333333333333,0.633371471010382,300,0.0365677189284873,7.94137063432391,8.08529603234276
"Petite",35,8.38,0.608413694849374,300,0.0351267810499941,8.31087296539294,8.44912703460706
"Petite",40,8.72666666666667,0.632420277119519,300,0.0365128017235932,8.65481204085409,8.79852129247924
"Petite",45,9.03666666666667,0.650692110729368,300,0.0375677265289166,8.96273602303107,9.11059731030227
"Petite",50,9.33333333333333,0.676076292093819,300,0.039033282923309,9.25651857778752,9.41014808887915
"Petite",55,9.56333333333333,0.688648200002569,300,0.0397591223648434,9.48509017681554,9.64157648985112
"Petite",60,9.8,0.722315118514615,300,0.0417028828114149,9.71793165962985,9.88206834037015
"Petite",65,10.0466666666667,0.68267295495989,300,0.039414141431457,9.96910240836295,10.1242309249704
"Petite",70,10.2533333333333,0.666309826460897,300,0.0384694157670891,10.1776282286937,10.329038437973
"Petite",75,10.4266666666667,0.672902828257154,300,0.0388500629032728,10.3502124752342,10.5031208580991
"Petite",80,10.5733333333333,0.662887841082541,300,0.0382718473491535,10.498017029445,10.6486496372217
"Petite",85,10.74,0.648435214516261,300,0.0374374245652996,10.6663257814645,10.8136742185355
"Petite",90,10.8966666666667,0.65376876714314,300,0.0377453573697862,10.8223864580292,10.9709468753042
"Petite",95,11.0166666666667,0.666736339726027,300,0.0384940405219327,10.9409131022413,11.092420231092
"Petite",100,11.15,0.644633104536901,300,0.0372179096432924,11.0767577713924,11.2232422286076
"Petite",105,11.2533333333333,0.686093752836418,300,0.0396116412889426,11.1753804092004,11.3312862574662
"Petite",110,11.4033333333333,0.727382871460785,300,0.0419954696641807,11.3206892026148,11.4859774640518
"Petite",115,11.5566666666667,0.708374810248693,300,0.0408980387384233,11.4761822028267,11.6371511305066
"Petite",120,11.66,0.711397889033795,300,0.0410725762734593,11.5791720585665,11.7408279414335
"Petite",125,11.7433333333333,0.711201975335624,300,0.0410612651908216,11.6625276513149,11.8241390153517
"Petite",130,11.8466666666667,0.71521137663382,300,0.0412927480827019,11.7654054425975,11.9279278907359
"Petite",135,11.9566666666667,0.754998209629689,300,0.0435898419567386,11.8708849234101,12.0424484099232
"Petite",140,12.0766666666667,0.734338522600309,300,0.0423970543699601,11.993232245491,12.1601010878423
"Petite",145,12.1733333333333,0.729196806193475,300,0.0421001972348018,12.0904831061215,12.2561835605452
"Petite",150,12.2266666666667,0.719035648003087,300,0.0415135424931519,12.1449709347264,12.308362398607
"Petite",155,12.3266666666667,0.722284249687553,300,0.0417011005988535,12.2446018335655,12.4087314997678
"Petite",160,12.39,0.706799276592233,300,0.0408070752603559,12.3096945458873,12.4703054541127
"Petite",165,12.46,0.69040243220505,300,0.0398604030082758,12.3815575302991,12.5384424697009
"Petite",170,12.55,0.689748148501469,300,0.0398226279210369,12.471631869014,12.628368130986
"Petite",175,12.6466666666667,0.695293943437949,300,0.0401428145409816,12.5676684309317,12.7256649024017
"Petite",180,12.7166666666667,0.67669437202674,300,0.0390689677848743,12.639781685823,12.7935516475103
"Petite",185,12.7866666666667,0.670313326293691,300,0.0387005579377056,12.7105066904917,12.8628266428417
"Petite",190,12.8666666666667,0.695582493723164,300,0.040159473999466,12.787635646289,12.9456976870443
"Petite",195,12.9433333333333,0.713080524909757,300,0.0411697233010528,12.862314213382,13.0243524532847
"Petite",200,13.0166666666667,0.733609454451817,300,0.0423549616007811,12.9333150811004,13.100018252233
"Petite",205,13.0633333333333,0.731051990123205,300,0.0422073063289244,12.9802723229573,13.1463943437094
"Petite",210,13.1233333333333,0.718686712593476,300,0.041493396697885,13.0416772469013,13.2049894197654
"Petite",215,13.1766666666667,0.702686356735371,300,0.0405696157217044,13.0968285162253,13.256504817108
"Petite",220,13.23,0.691878350704741,300,0.0399456152025857,13.1513898386938,13.3086101613062
"Petite",225,13.29,0.693423478403593,300,0.0400348231918721,13.2112142836449,13.3687857163551
"Petite",230,13.3466666666667,0.693849392028474,300,0.0400594133264698,13.2678325586561,13.4255007746772
"Petite",235,13.42,0.701360359954175,300,0.0404930592618476,13.3403125072874,13.4996874927126
"Petite",240,13.49,0.701098039890614,300,0.0404779142059165,13.4103423116923,13.5696576883077
"Petite",245,13.5566666666667,0.708374810248693,300,0.0408980387384233,13.4761822028267,13.6371511305066
"Petite",250,13.61,0.697271318046211,300,0.0402569783172185,13.5307770979826,13.6892229020174
"Petite",255,13.68,0.706586310401513,300,0.0407947796516018,13.5997187427806,13.7602812572194
"Petite",260,13.72,0.704690448894081,300,0.0406853220364356,13.639934147669,13.800065852331
"Petite",265,13.78,0.697535077215826,300,0.0402722064599763,13.7007471300687,13.8592528699313
"Petite",270,13.82,0.704215686023445,300,0.0406579115893193,13.7399880895011,13.9000119104989
"Petite",275,13.86,0.699067702139008,300,0.0403606926011729,13.7805729955661,13.9394270044339
"Petite",280,13.9333333333333,0.709860475872719,300,0.040983813683219,13.8526800704347,14.013986596232
"Petite",285,13.9833333333333,0.719802710490163,300,0.0415578288664918,13.901550448925,14.0651162177417
"Petite",290,14.0333333333333,0.726163388256184,300,0.0419250627685358,13.9508277584337,14.115838908233
"Petite",295,14.0833333333333,0.747161107990238,300,0.0431373666826183,13.9984420295932,14.1682246370734
"Petite",300,14.11,0.743691416568003,300,0.0429370439549551,14.0255029172991,14.1944970827009
"Petite",305,14.1333333333333,0.742108238521282,300,0.0428456391278101,14.0490161289036,14.217650537763
"Petite",310,14.19,0.731905471170353,300,0.0422565820801563,14.1068420184112,14.2731579815888
"Petite",315,14.23,0.724926475339968,300,0.0418536495680217,14.1476349612564,14.3123650387436
"Petite",320,14.2666666666667,0.719221677668052,300,0.0415242829208664,14.18494979832,14.3483835350133
"Petite",325,14.2933333333333,0.731943549796831,300,0.0422587805506811,14.2101710253091,14.3764956413576
"Petite",330,14.3366666666667,0.705915441767147,300,0.0407560470329376,14.2564616325167,14.4168717008166
"Petite",335,14.3766666666667,0.699824790940995,300,0.0404044031435357,14.2971536429596,14.4561796903737
"Petite",340,14.4066666666667,0.699705305064453,300,0.0403975046232371,14.3271672187624,14.486166114571
"Petite",345,14.4533333333333,0.704373975869231,300,0.0406670504578268,14.373303438184,14.5333632284827
"Petite",350,14.4933333333333,0.701137791663344,300,0.0404802092755851,14.4136711284899,14.5729955381767
"Petite",355,14.5333333333333,0.705133272506369,300,0.0407108884696114,14.45321716806,14.6134494986067
"Petite",360,14.57,0.71189135242596,300,0.0411010663956895,14.4891159920097,14.6508840079903
"Petite",365,14.61,0.716200491351904,300,0.0413498546475764,14.5286263942275,14.6913736057725
"Petite",370,14.6666666666667,0.719221677668052,300,0.0415242829208664,14.58494979832,14.7483835350133
"Petite",375,14.7133333333333,0.720800991341776,300,0.0416154646383323,14.6314370257796,14.7952296408871
"Petite",380,14.7433333333333,0.715889106588441,300,0.0413318768398757,14.661995106622,14.8246715600447
"Petite",385,14.78,0.725733396786108,300,0.0419002371994361,14.6975432800743,14.8624567199257
"Petite",390,14.8233333333333,0.721473470603624,300,0.0416542902466176,14.7413606197131,14.9053060469535
"Petite",395,14.8633333333333,0.730136439044757,300,0.0421544469627645,14.7803763464723,14.9462903201944
"Petite",400,14.8866666666667,0.722654588585423,300,0.0417224821250912,14.8045597562256,14.9687735771077
"Petite",405,14.9266666666667,0.732400338892778,300,0.0422851532814319,14.8434524589631,15.0098808743702
"Petite",410,14.96,0.739519865931283,300,0.0426961993666502,14.87597688251,15.04402311749
"Petite",415,14.9833333333333,0.742671366138817,300,0.0428781513159673,14.898952147204,15.0677145194627
"Petite",420,15.0166666666667,0.738154316435117,300,0.0426173593297299,14.9327987008245,15.1005346325089
"Petite",425,15.0466666666667,0.734588972658448,300,0.0424115141108085,14.963203789738,15.1301295435953
"Petite",430,15.0633333333333,0.744650187601673,300,0.0429923986263931,14.9787273165322,15.1479393501345
"Petite",435,15.1,0.719996283899737,300,0.0415690048325044,15.0181951220766,15.1818048779234
