"date","strain","time_lapse_replicate","id_file","file_id","replicate","timepoint","LABEL","ID","TRACK_ID","QUALITY","POSITION_X","POSITION_Y","POSITION_Z","POSITION_T","FRAME","RADIUS","VISIBILITY","MANUAL_SPOT_COLOR","MEAN_INTENSITY_CH1","MEDIAN_INTENSITY_CH1","MIN_INTENSITY_CH1","MAX_INTENSITY_CH1","TOTAL_INTENSITY_CH1","STD_INTENSITY_CH1","CONTRAST_CH1","SNR_CH1","ELLIPSE_X0","ELLIPSE_Y0","ELLIPSE_MAJOR","ELLIPSE_MINOR","ELLIPSE_THETA","ELLIPSE_ASPECTRATIO","AREA","PERIMETER","CIRCULARITY","SOLIDITY","SHAPE_INDEX","minutes","division_id","spot_num","percentage_cell_cycle","division_number","dt_minutes","percentage_max_area","cell_id","mother_cell_id","mod_mother_cell_id","complete_cell_id","x_outward","y_outward","x_inward","y_inward","angle_to_bud_scar","num_div_parent","mother_displacement","angle_to_center"
"2022dec1","PA3-t1000",4,"2022dec1_gob2151_4","2022dec1_PA3-t1000_4","PA3","t1000","ID2816",2816,85,893,144.713969631582,143.170239302764,0,51000,170,2.48091616707736,1,NA,10101.6127232143,10082,8233,12198,9051045,863.370028593589,-0.964747423568906,-640.392897244819,-0.00617965847552,0.0225630228909809,3.07053890093306,2.01985510825369,0.489521694140887,1.52017780304438,19.3363300834206,16.9997035433603,0.840816488260884,0.970826580226904,3.86593299275504,850,"2022dec1_gob2151_4_85_39",5,1,2,20,75.0313152400835,"PA3_t1000_4_2022dec1_0020","PA3_t1000_4_2022dec1_0020_1","PA3_t1000_4_2022dec1_0020","PA3_t1000_4_2022dec1_0020_1",143.359005509638,142.448349758734,146.068933753526,143.892128846794,14.3059674254512,0,0,152.358060101353
"2022dec1","PA3-t1000",4,"2022dec1_gob2151_4","2022dec1_PA3-t1000_4","PA3","t1000","ID2832",2832,85,1015,150.9951415875,147.619690470259,0,54000,180,2.64204457505166,1,NA,11792.4941176471,11821,9257,15200,12028344,1420.49541834097,-0.962274090019914,-423.501443322365,0.00210602883145368,0.00802390774168581,3.12385122649407,2.26246560917293,0.582722692533911,1.38072871199842,21.9295719031782,17.6206619996624,0.887555616337014,0.975586404978458,3.76276541633706,900,"2022dec1_gob2151_4_85_40",14,1,1,70,100,"PA3_t1000_4_2022dec1_0021","PA3_t1000_4_2022dec1_0020_1","PA3_t1000_4_2022dec1_0020","PA3_t1000_4_2022dec1_0021_0",152.299298634988,148.479217093933,149.690984540012,146.760163846585,7.99952299698354,0,0,8.68013725234865
"2022dec1","PA3-t1000",4,"2022dec1_gob2151_4","2022dec1_PA3-t1000_4","PA3","t1000","ID2352",2352,85,1502,117.328634131573,121.720256402962,0,20700,69,3.20552138125024,1,NA,9066.2411489646,8959,5808,13839,13572163,1687.47570906368,-0.968998909397352,-335.866004657632,0.00377981127904724,0.0122354950679838,3.84811054902525,2.68103224916639,1.23976050062279,1.43530931051715,32.2810185032064,21.4529810941915,0.881417751271858,0.982318271119843,3.77584393608664,345,"2022dec1_gob2151_4_85_13",12,1,1,100,100,"PA3_t1000_4_2022dec1_0006","PA3_t1000_4_2022dec1_0005_1","PA3_t1000_4_2022dec1_0005","PA3_t1000_4_2022dec1_0006_0",NA,NA,NA,NA,NA,NA,NA,NA
"2022dec1","PA3-t1000",4,"2022dec1_gob2151_4","2022dec1_PA3-t1000_4","PA3","t1000","ID2663",2663,85,1512,129.409189122185,131.767082523637,0,35700,119,3.21831792467085,1,NA,9531.5205026455,9481,6427,13094,14411659,1572.2051397845,-0.969536046021924,-385.887454819585,0.0634823353139147,0.0662454506361341,4.505470411849,2.41773058255015,0.227185184229325,1.86351218964057,32.539266651232,22.6431222202733,0.797526281108033,0.984054669703874,3.96946914341395,595,"2022dec1_gob2151_4_85_30",23,1,1,115,97.9909267660399,"PA3_t1000_4_2022dec1_0014","PA3_t1000_4_2022dec1_0010_1","PA3_t1000_4_2022dec1_0010","PA3_t1000_4_2022dec1_0014_0",131.604038611087,132.274479438366,127.214339633283,131.259685608908,18.2361163736936,0,0,20.3024826621624
"2022dec1","PA3-t1000",4,"2022dec1_gob2151_4","2022dec1_PA3-t1000_4","PA3","t1000","ID2686",2686,85,1161,121.287372127585,127.824341760916,0,33600,112,2.82073739162243,1,NA,10090.764806867,10098,7584,13070,11755741,1186.28342187177,-0.966852238515722,-496.216864455992,0.0330765483857619,0.0153126319951547,3.67156983831557,2.20809921978511,0.596102997691443,1.66277393942148,24.9962686609828,19.6366703084345,0.814609275299551,0.96912807676262,3.92762717879523,560,"2022dec1_gob2151_4_85_27",17,1,2,80,83.3213773314205,"PA3_t1000_4_2022dec1_0010","PA3_t1000_4_2022dec1_0010_1","PA3_t1000_4_2022dec1_0010","PA3_t1000_4_2022dec1_0010_1",119.76820548258,126.793691978442,122.80653877259,128.85499154339,53.8501258781936,0,0,143.429480510909
"2022dec1","PA3-t1000",4,"2022dec1_gob2151_4","2022dec1_PA3-t1000_4","PA3","t1000","ID2476",2476,85,1020,117.055311318513,121.007946059554,0,24000,80,2.64334064801412,1,NA,8557.03033268102,8358,5900,12426,8745285,1692.24192440522,-0.967644594564156,-302.454218034234,0.023713138896101,0.0218518419720803,3.38018184723947,2.12499648468223,0.978977901309235,1.59067644186947,21.9510925821804,18.7954994227936,0.780833190595579,0.948837209302326,4.01167552879904,400,"2022dec1_gob2151_4_85_18",9,1,2,50,68.6406460296097,"PA3_t1000_4_2022dec1_0006","PA3_t1000_4_2022dec1_0006_1","PA3_t1000_4_2022dec1_0006","PA3_t1000_4_2022dec1_0006_1",116.11245842582,119.605292947469,117.998164211206,122.410599171639,NA,0,0,NA
"2022dec1","PA3-t1000",4,"2022dec1_gob2151_4","2022dec1_PA3-t1000_4","PA3","t1000","ID2737",2737,85,1262,130.338866573196,133.075937286908,0,41700,139,2.94198647356531,1,NA,9874.01347068146,9786,7392,13125,12461005,1318.18600598275,-0.966980112922238,-438.721555495761,0.0114474016306749,0.00210158007736278,3.52435605367411,2.49954662457282,0.374521394545587,1.40999812487052,27.1913779192009,19.4966841468374,0.898916946618566,0.984801247077163,3.73891117726178,695,"2022dec1_gob2151_4_85_35",15,1,2,95,81.8594104308392,"PA3_t1000_4_2022dec1_0014","PA3_t1000_4_2022dec1_0014_1","PA3_t1000_4_2022dec1_0014","PA3_t1000_4_2022dec1_0014_1",131.978895380384,133.720589836628,128.698837766008,132.431284737188,123.906169026527,0,0,41.5971303636013
"2022dec1","PA3-t1000",4,"2022dec1_gob2151_4","2022dec1_PA3-t1000_4","PA3","t1000","ID2745",2745,85,1600,136.223195723554,137.107966198499,0,42000,140,3.30857844462871,1,NA,9950.46105527638,10077,6784,13897,15841134,1486.6945474107,-0.967769535738348,-401.93593589236,0.021662860924805,-0.000111979095056217,4.47623410530074,2.48593486672917,0.732618663117386,1.80062404900828,34.3900450454159,22.7276627110472,0.836629275506859,0.987639060568603,3.87559514593843,700,"2022dec1_gob2151_4_85_36",19,1,1,100,99.2238435268548,"PA3_t1000_4_2022dec1_0018","PA3_t1000_4_2022dec1_0014_1","PA3_t1000_4_2022dec1_0014","PA3_t1000_4_2022dec1_0018_0",137.88706910748,138.604860751775,134.559322339628,135.611071645223,23.7204053122927,0,0,25.0729363289278
"2022dec1","PA3-t1000",4,"2022dec1_gob2151_4","2022dec1_PA3-t1000_4","PA3","t1000","ID2798",2798,85,1088,137.388865827482,137.560692270473,0,43800,146,2.72375021048574,1,NA,9293.30747922438,9210,7805,11785,10064652,903.266436687655,-0.966654988236642,-596.520056647495,0.00484917915481305,-0.0279403475836392,3.67823192888142,2.07043246978235,0.900039976589409,1.77655247517833,23.3068953593151,20.5010567453671,0.696853996170246,0.907795473595977,4.24652841619969,730,"2022dec1_gob2151_4_85_37",6,1,2,25,68.5443037974684,"PA3_t1000_4_2022dec1_0018","PA3_t1000_4_2022dec1_0018_1","PA3_t1000_4_2022dec1_0018","PA3_t1000_4_2022dec1_0018_1",138.532021051436,139.001366995943,136.245710603528,136.120017545003,130.670439803159,0,0,20.7506499916838
"2022dec1","PA3-t1000",4,"2022dec1_gob2151_4","2022dec1_PA3-t1000_4","PA3","t1000","ID2548",2548,85,1404,121.63872756465,129.169255868978,0,28500,95,3.10345683175685,1,NA,9710.25071225071,9827,6687,13176,13633192,1386.42732270133,-0.968892202589437,-436.284244107197,-0.00786893136434873,-0.0334018765659078,3.85673905821548,2.57187822825361,0.676984148539863,1.49958074058364,30.2580746770055,20.847432482188,0.874874991800527,0.986320589266924,3.78993647657965,475,"2022dec1_gob2151_4_85_20",26,1,1,125,100,"PA3_t1000_4_2022dec1_0010","PA3_t1000_4_2022dec1_0006_1","PA3_t1000_4_2022dec1_0006","PA3_t1000_4_2022dec1_0010_0",123.141825134145,130.377273558157,120.135629995155,127.9612381798,NA,0,0,NA
