"date","strain","time_lapse_replicate","id_file","file_id","replicate","timepoint","LABEL","ID","TRACK_ID","QUALITY","POSITION_X","POSITION_Y","POSITION_Z","POSITION_T","FRAME","RADIUS","VISIBILITY","MANUAL_SPOT_COLOR","MEAN_INTENSITY_CH1","MEDIAN_INTENSITY_CH1","MIN_INTENSITY_CH1","MAX_INTENSITY_CH1","TOTAL_INTENSITY_CH1","STD_INTENSITY_CH1","CONTRAST_CH1","SNR_CH1","ELLIPSE_X0","ELLIPSE_Y0","ELLIPSE_MAJOR","ELLIPSE_MINOR","ELLIPSE_THETA","ELLIPSE_ASPECTRATIO","AREA","PERIMETER","CIRCULARITY","SOLIDITY","SHAPE_INDEX","minutes","division_id","spot_num","percentage_cell_cycle","division_number","dt_minutes","percentage_max_area","Strain"
"2022nov22","grande",6,"2022nov22_gob8_6","2022nov22_grande_6","ancestor","t0","ID2818",2818,5,922,42.4178459511273,83.3472360638275,0,15600,52,2.51723588832785,1,NA,10951.4800431499,10991,7457,13684,10152022,1587.01314514828,-0.9467233067231,-245.249479833148,-0.0119761516688663,0.00631238205933662,2.78799576563372,2.31868475641948,-0.496664835583797,1.20240397402662,19.9066280769773,16.4007772643239,0.929990913505273,0.981432360742706,3.67591600672954,260,"2022nov22_gob8_6_5_39",14,0.866666666666667,1,65,96.7067433350759,"Grande"
"2022nov22","grande",6,"2022nov22_gob8_6","2022nov22_grande_6","ancestor","t0","ID2691",2691,5,902,45.8756640434277,80.0829041729946,0,9900,33,2.48505447882278,1,NA,10341.6836847947,10366,7218,13443,9317857,1716.52291529196,-0.948919734902719,-223.84529818696,-0.00760588901785775,0.00903109763429077,2.76848731614912,2.26912266999774,-0.71344875176324,1.22006948004793,19.4008921204271,16.2391771524905,0.924492784052068,0.985245901639345,3.68683047912981,165,"2022nov22_gob8_6_5_19",10,0.6875,1,55,88.5125184094256,"Grande"
"2022nov22","grande",6,"2022nov22_gob8_6","2022nov22_grande_6","ancestor","t0","ID2701",2701,5,481,42.35621617579,81.7190612524881,0,12900,43,1.82273661526498,1,NA,9752.36907216495,9719,7583,12103,4729899,1195.88904904951,-0.953372058197879,-333.476633630907,0.0148337571057951,0.0009715806285992,1.92749328126283,1.77608752883075,-1.01346213694244,1.08524678540576,10.4375293160367,11.998090588361,0.911136194298511,0.972918756268807,3.71375528187961,215,"2022nov22_gob8_6_5_39",5,0.266666666666667,1,20,50.7056978567694,"Grande"
"2022nov22","grande",6,"2022nov22_gob8_6","2022nov22_grande_6","ancestor","t0","ID2574",2574,5,677,45.9002316397678,79.966016527177,0,9300,31,2.15271704222113,1,NA,10296.9039881832,10286,7374,12884,6971004,1494.54350393249,-0.949664662850658,-259.971292849999,-0.000572267903360654,-0.000738364003749214,2.3575754116372,1.98857584312561,-0.585236776049454,1.18555971590784,14.5587393449461,14.0550628643299,0.926121677634841,0.980434782608695,3.68358679224377,155,"2022nov22_gob8_6_5_19",8,0.5625,1,45,66.4212076583211,"Grande"
"2022nov22","grande",6,"2022nov22_gob8_6","2022nov22_grande_6","ancestor","t0","ID2835",2835,5,870,42.3193198227808,83.1248652247342,0,14700,49,2.44335597410694,1,NA,10733.8451834862,10722,7596,13345,9359913,1466.88791771749,-0.948443735811289,-269.226945098788,-0.012823619910861,-0.00689220567014101,2.71632596934751,2.24350635040124,2.71711701273077,1.21075029222079,18.7552717503629,15.8749879601534,0.935204129838676,0.989216799091941,3.66565614711062,245,"2022nov22_gob8_6_5_39",11,0.666666666666667,1,50,91.1134343962363,"Grande"
"2022nov22","grande",6,"2022nov22_gob8_6","2022nov22_grande_6","ancestor","t0","ID2454",2454,5,834,45.9780142472969,80.2362493005888,0,9600,32,2.39164263173797,1,NA,10206.6011976048,10231,7198,13069,8522512,1596.30006412416,-0.949729650550224,-241.593198289047,-0.00630212381835655,-0.000264868090185905,2.68202414631846,2.15064655192394,-0.661079733296872,1.24707806771836,17.9697669667849,15.610794635294,0.926621319696874,0.985832349468714,3.68259354773911,160,"2022nov22_gob8_6_5_19",9,0.625,1,50,81.9833087874324,"Grande"
"2022nov22","grande",6,"2022nov22_gob8_6","2022nov22_grande_6","ancestor","t0","ID2586",2586,5,260,42.5031722767885,81.7767462238642,0,12300,41,1.33328112089607,1,NA,9314.55252918288,9345,7748,10650,2393840,731.423236800328,-0.954984004196987,-540.321780108343,-0.00855301254195744,0.0160867830379865,1.43072498545236,1.26997829136373,-1.48940908268877,1.12657436365784,5.5846162010547,8.78719466141855,0.908871951932458,0.971910112359551,3.71837838163258,205,"2022nov22_gob8_6_5_39",3,0.133333333333333,1,10,27.1301620491374,"Grande"
"2022nov22","grande",6,"2022nov22_gob8_6","2022nov22_grande_6","ancestor","t0","ID3227",3227,5,925,42.3797922457825,83.6490995133064,0,15900,53,2.51587485233307,1,NA,10941.0593952484,11032,7622,13883,10131421,1580.16437863136,-0.946580304881427,-245.382260524881,-0.00372127366783926,0.00456307504999445,2.81432295667383,2.2811913626207,-0.452529573244573,1.23370752791237,19.8851073979752,16.27406312157,0.94350849045945,0.99088471849866,3.64948872026523,265,"2022nov22_gob8_6_5_39",15,0.933333333333333,1,70,96.6021955044433,"Grande"
"2022nov22","grande",6,"2022nov22_gob8_6","2022nov22_grande_6","ancestor","t0","ID2718",2718,5,616,42.4059627460145,82.3307453506775,0,13500,45,2.06169273908074,1,NA,10198.6752411576,10134,7436,12763,6343576,1327.12152909106,-0.951288361549858,-300.152876412454,0.01296651581011,0.00489314477402999,2.18246408085615,1.96465546921733,-0.617041348342894,1.11086351528372,13.3535813208264,13.8082207085955,0.880100320819946,0.974097331240189,3.7786689274521,225,"2022nov22_gob8_6_5_39",7,0.4,1,30,64.8719289074752,"Grande"
"2022nov22","grande",6,"2022nov22_gob8_6","2022nov22_grande_6","ancestor","t0","ID2595",2595,5,488,46.3530910153003,78.9892951498119,0,8400,28,1.82273661526498,1,NA,9790.25360824742,9688,7357,12561,4748273,1383.10770856208,-0.952979614437305,-286.922998256571,0.00674774751608823,0.00476467261296694,1.88036480454762,1.79998240673422,-0.48871739557301,1.04465732415643,10.4375293160367,11.9099425750998,0.924673129248351,0.97979797979798,3.68647092797134,140,"2022nov22_gob8_6_5_19",5,0.375,1,30,47.6190476190476,"Grande"
"2022nov22","grande",6,"2022nov22_gob8_6","2022nov22_grande_6","ancestor","t0","ID2982",2982,5,961,42.5009595294756,83.8452083937797,0,16200,54,2.55973811772306,1,NA,10804.7513061651,10886,7443,13897,10340147,1647.22117557619,-0.947129688495402,-235.01221462183,0.012459577747185,0.0040116560119137,2.88383863962299,2.31253066016748,-0.476116906327795,1.24704882373933,20.5845294655446,16.6843404363979,0.929250326569671,0.986591026302217,3.67738051693878,270,"2022nov22_gob8_6_5_39",16,1,1,75,100,"Grande"
"2022nov22","grande",6,"2022nov22_gob8_6","2022nov22_grande_6","ancestor","t0","ID2344",2344,5,121,46.7272285287141,77.997077769303,0,7500,25,0.900973927883901,1,NA,9696.20168067227,9759,8409,10643,1153848,634.089893373572,-0.952140633087344,-608.436073011672,0.0057537023648743,0.00640613641811082,0.965090619718121,0.880264236692464,1.85098011853818,1.096364681751,2.55020046175331,6.14155317394659,0.849625916427229,0.951807228915664,3.84583862008472,125,"2022nov22_gob8_6_5_19",2,0.1875,1,15,11.6347569955817,"Grande"
