"delay","std","first_div_mean","first_div_scaled_std","first_div_log_mean","first_div_log_sd","second_div_mean","second_div_scaled_std","second_div_log_mean","second_div_log_sd"
0,0,60,0,4.0943445622221,0,60,0,4.0943445622221,0
20,0,80,0,4.38202663467388,0,60,0,4.0943445622221,0
40,0,100,0,4.60517018598809,0,60,0,4.0943445622221,0
60,0,120,0,4.78749174278205,0,60,0,4.0943445622221,0
0,10,60,10,4.08064507512804,0.165526354965348,60,10,4.08064507512804,0.165526354965348
20,10,80,13.3333333333333,4.36832714757982,0.165526354965348,60,10,4.08064507512804,0.165526354965348
40,10,100,16.6666666666667,4.59147069889403,0.165526354965348,60,10,4.08064507512804,0.165526354965348
60,10,120,20,4.77379225568799,0.165526354965348,60,10,4.08064507512804,0.165526354965348
0,20,60,20,4.04166430439319,0.324592845974501,60,20,4.04166430439319,0.324592845974501
20,20,80,26.6666666666667,4.32934637684497,0.324592845974501,60,20,4.04166430439319,0.324592845974501
40,20,100,33.3333333333333,4.55248992815918,0.324592845974501,60,20,4.04166430439319,0.324592845974501
60,20,120,40,4.73481148495313,0.324592845974501,60,20,4.04166430439319,0.324592845974501
0,30,60,30,3.982772786565,0.472380727077439,60,30,3.982772786565,0.472380727077439
20,30,80,40,4.27045485901678,0.472380727077439,60,30,3.982772786565,0.472380727077439
40,30,100,50,4.49359841033099,0.472380727077439,60,30,3.982772786565,0.472380727077439
60,30,120,60,4.67591996712494,0.472380727077439,60,30,3.982772786565,0.472380727077439
