"delay","std","first_div_mean","first_div_scaled_std","first_div_log_mean","first_div_log_sd","second_div_mean","second_div_scaled_std","second_div_log_mean","second_div_log_sd"
0,0,60,0,4.0943445622221,0,60,0,4.0943445622221,0
20,0,80,0,4.38202663467388,0,60,0,4.0943445622221,0
40,0,100,0,4.60517018598809,0,60,0,4.0943445622221,0
60,0,120,0,4.78749174278205,0,60,0,4.0943445622221,0
0,5,60,5,4.09088434079981,0.0831891990860217,60,5,4.09088434079981,0.0831891990860217
20,5,80,6.66666666666667,4.37856641325159,0.0831891990860217,60,5,4.09088434079981,0.0831891990860217
40,5,100,8.33333333333333,4.6017099645658,0.0831891990860217,60,5,4.09088434079981,0.0831891990860217
60,5,120,10,4.78403152135976,0.0831891990860217,60,5,4.09088434079981,0.0831891990860217
0,10,60,10,4.08064507512804,0.165526354965348,60,10,4.08064507512804,0.165526354965348
20,10,80,13.3333333333333,4.36832714757982,0.165526354965348,60,10,4.08064507512804,0.165526354965348
40,10,100,16.6666666666667,4.59147069889403,0.165526354965348,60,10,4.08064507512804,0.165526354965348
60,10,120,20,4.77379225568799,0.165526354965348,60,10,4.08064507512804,0.165526354965348
0,15,60,15,4.06403225131388,0.24622067706924,60,15,4.06403225131388,0.24622067706924
20,15,80,20,4.35171432376566,0.24622067706924,60,15,4.06403225131388,0.24622067706924
40,15,100,25,4.57485787507987,0.24622067706924,60,15,4.06403225131388,0.24622067706924
60,15,120,30,4.75717943187383,0.24622067706924,60,15,4.06403225131388,0.24622067706924
