file_num,sim_number,cluster_size,overlap_vol,not_added_nodes
1,1,5,1.029653e-02,0
1,1,10,8.327909e-02,0
1,1,15,3.267281e-01,0
1,1,20,5.991875e-01,0
1,1,25,7.815894e-01,0
1,1,30,9.278629e-01,0
1,1,35,1.237290e+00,0
1,1,40,3.071547e+00,0
1,1,45,3.911844e+00,0
1,1,50,4.317643e+00,0
1,1,55,4.891603e+00,0
1,1,60,5.332866e+00,0
1,1,65,5.598751e+00,0
1,1,70,6.247171e+00,0
1,1,75,7.328091e+00,0
1,1,80,7.579235e+00,0
1,1,85,9.105172e+00,0
1,1,90,1.021598e+01,0
1,1,95,1.051683e+01,0
1,1,100,1.159417e+01,0
1,1,105,1.217258e+01,0
1,1,110,1.243578e+01,0
1,1,115,1.278655e+01,0
1,1,120,1.303660e+01,0
1,1,125,1.356295e+01,0
1,1,130,1.461291e+01,0
1,1,135,1.523552e+01,0
1,1,140,1.738868e+01,0
1,1,145,1.853402e+01,0
1,1,150,2.036967e+01,0
1,1,155,2.152619e+01,0
1,1,160,2.230323e+01,0
1,1,165,2.417075e+01,0
1,1,170,2.586861e+01,0
1,1,175,2.707657e+01,0
1,1,180,3.066407e+01,0
1,1,185,3.164720e+01,0
1,1,190,3.267752e+01,0
1,1,195,3.454165e+01,0
1,1,200,3.483747e+01,0
1,1,205,3.558432e+01,0
1,1,210,3.704603e+01,0
1,1,215,3.903327e+01,0
1,1,220,3.944293e+01,0
1,1,225,4.170313e+01,0
1,1,230,4.368110e+01,0
1,1,235,4.501589e+01,0
1,1,240,4.699197e+01,0
1,1,245,4.877767e+01,0
1,1,250,5.099096e+01,0
1,1,255,5.320863e+01,0
1,1,260,5.519399e+01,0
1,1,265,5.794988e+01,0
1,1,270,5.921665e+01,0
1,1,275,6.255860e+01,0
1,1,280,6.592735e+01,0
1,1,285,6.634118e+01,0
1,1,290,6.881397e+01,0
1,1,295,7.047110e+01,0
1,1,300,7.090565e+01,0
1,1,305,7.196342e+01,0
1,1,310,7.529956e+01,0
1,1,315,7.706882e+01,0
1,1,320,8.084224e+01,0
1,1,325,8.218466e+01,0
1,1,330,8.509708e+01,0
1,1,335,8.951646e+01,0
1,1,340,9.045080e+01,0
1,1,345,9.214905e+01,0
1,1,350,9.301185e+01,0
1,1,355,9.424024e+01,0
1,1,360,9.646598e+01,0
1,1,365,9.982564e+01,0
1,1,370,1.020621e+02,0
1,1,375,1.039196e+02,0
1,1,380,1.058578e+02,0
1,1,385,1.068227e+02,0
1,1,390,1.083280e+02,0
1,1,395,1.100016e+02,0
1,1,400,1.115477e+02,0
1,1,405,1.133585e+02,0
1,1,410,1.154278e+02,0
1,1,415,1.181175e+02,0
1,1,420,1.212087e+02,0
1,1,425,1.229066e+02,0
1,1,430,1.241901e+02,0
1,1,435,1.285830e+02,0
1,1,440,1.299104e+02,0
1,1,445,1.317313e+02,0
1,1,450,1.336818e+02,0
1,1,455,1.354380e+02,0
1,1,460,1.369922e+02,0
1,1,465,1.383125e+02,0
1,1,470,1.391351e+02,0
1,1,475,1.463470e+02,0
1,1,480,1.521124e+02,0
1,1,485,1.556262e+02,0
1,1,490,1.581015e+02,0
1,1,495,1.591357e+02,0
1,1,500,1.599404e+02,0
1,2,5,0,0
