file_num,sim_number,cluster_size,overlap_vol,not_added_nodes
1,1,5,0,0
1,1,10,2.281238e-02,0
1,1,15,2.369773e-01,0
1,1,20,8.154447e-01,0
1,1,25,1.135762e+00,0
1,1,30,2.284108e+00,0
1,1,35,2.614400e+00,0
1,1,40,4.463941e+00,0
1,1,45,4.562666e+00,0
1,1,50,5.521822e+00,0
1,1,55,6.162667e+00,0
1,1,60,7.341276e+00,0
1,1,65,7.962437e+00,0
1,1,70,9.360255e+00,0
1,1,75,9.908819e+00,0
1,1,80,9.996173e+00,0
1,1,85,1.057693e+01,0
1,1,90,1.291244e+01,0
1,1,95,1.389001e+01,0
1,1,100,1.410307e+01,0
1,1,105,1.606193e+01,0
1,1,110,1.638080e+01,0
1,1,115,1.681453e+01,0
1,1,120,1.702624e+01,0
1,1,125,1.921279e+01,0
1,1,130,2.103873e+01,0
1,1,135,2.274633e+01,0
1,1,140,2.476688e+01,0
1,1,145,2.805786e+01,0
1,1,150,2.938091e+01,0
1,1,155,3.270365e+01,0
1,1,160,3.352032e+01,0
1,1,165,3.609187e+01,0
1,1,170,3.701476e+01,0
1,1,175,3.867728e+01,0
1,1,180,4.082073e+01,0
1,1,185,4.206356e+01,0
1,1,190,4.351704e+01,0
1,1,195,4.443828e+01,0
1,1,200,4.566143e+01,0
1,1,205,4.671992e+01,0
1,1,210,4.718262e+01,0
1,1,215,5.178985e+01,0
1,1,220,5.425364e+01,0
1,1,225,5.663536e+01,0
1,1,230,5.821153e+01,0
1,1,235,6.047638e+01,0
1,1,240,6.354171e+01,0
1,1,245,6.495145e+01,0
1,1,250,6.585227e+01,0
1,1,255,6.912656e+01,0
1,1,260,7.039213e+01,0
1,1,265,7.236415e+01,0
1,1,270,7.360852e+01,0
1,1,275,7.554451e+01,0
1,1,280,7.809964e+01,0
1,1,285,7.958657e+01,0
1,1,290,8.068458e+01,0
1,1,295,8.208137e+01,0
1,1,300,8.319100e+01,0
1,1,305,8.636361e+01,0
1,1,310,9.242094e+01,0
1,1,315,9.277974e+01,0
1,1,320,9.430051e+01,0
1,1,325,9.469747e+01,0
1,1,330,9.560454e+01,0
1,1,335,1.000396e+02,0
1,1,340,1.007366e+02,0
1,1,345,1.030714e+02,0
1,1,350,1.063127e+02,0
1,1,355,1.084546e+02,0
1,1,360,1.111603e+02,0
1,1,365,1.124127e+02,0
1,1,370,1.169049e+02,0
1,1,375,1.194278e+02,0
1,1,380,1.231700e+02,0
1,1,385,1.237010e+02,0
1,1,390,1.245378e+02,0
1,1,395,1.285623e+02,0
1,1,400,1.294266e+02,0
1,1,405,1.339146e+02,0
1,1,410,1.351874e+02,0
1,1,415,1.385193e+02,0
1,1,420,1.412533e+02,0
1,1,425,1.458796e+02,0
1,1,430,1.476127e+02,0
1,1,435,1.492704e+02,0
1,1,440,1.511528e+02,0
1,1,445,1.516477e+02,0
1,1,450,1.542757e+02,0
1,1,455,1.549536e+02,0
1,1,460,1.560493e+02,0
1,1,465,1.576952e+02,0
1,1,470,1.625065e+02,0
1,1,475,1.660337e+02,0
1,1,480,1.694532e+02,0
1,1,485,1.721243e+02,0
1,1,490,1.755032e+02,0
1,1,495,1.761256e+02,0
1,1,500,1.783849e+02,0
1,2,5,1.884415e-01,0
1,2,10,2.084450e-01,0
1,2,15,2.594870e-01,0
1,2,20,3.639683e-01,0
1,2,25,3.719729e-01,0
1,2,30,9.868770e-01,0
1,2,35,3.250476e+00,0
1,2,40,4.161272e+00,0
1,2,45,4.177420e+00,0
1,2,50,4.688408e+00,0
1,2,55,7.090090e+00,0
1,2,60,8.537725e+00,0
1,2,65,9.520529e+00,0
1,2,70,1.107038e+01,0
1,2,75,1.183840e+01,0
1,2,80,1.215397e+01,0
1,2,85,1.308389e+01,0
1,2,90,1.349220e+01,0
1,2,95,1.519479e+01,0
1,2,100,1.562812e+01,0
1,2,105,1.628960e+01,0
1,2,110,1.814932e+01,0
1,2,115,2.248003e+01,0
1,2,120,2.468934e+01,0
1,2,125,2.704400e+01,0
1,2,130,2.984934e+01,0
1,2,135,3.227884e+01,0
1,2,140,3.303434e+01,0
1,2,145,3.419262e+01,0
1,2,150,3.452336e+01,0
1,2,155,3.662509e+01,0
1,2,160,3.796336e+01,0
1,2,165,3.935765e+01,0
1,2,170,4.166739e+01,0
1,2,175,4.166740e+01,0
1,2,180,4.319311e+01,0
1,2,185,4.426646e+01,0
1,2,190,4.556917e+01,0
1,2,195,4.719929e+01,0
1,2,200,5.039923e+01,0
1,2,205,5.241589e+01,0
1,2,210,5.517763e+01,0
1,2,215,5.642433e+01,0
1,2,220,5.969895e+01,0
1,2,225,6.222095e+01,0
1,2,230,6.374095e+01,0
1,2,235,6.747959e+01,0
1,2,240,7.113696e+01,0
1,2,245,7.256967e+01,0
1,2,250,7.760903e+01,0
1,2,255,8.299294e+01,0
1,2,260,8.571080e+01,0
1,2,265,8.850154e+01,0
1,2,270,8.965430e+01,0
1,2,275,9.041622e+01,0
1,2,280,9.163598e+01,0
1,2,285,9.437547e+01,0
1,2,290,9.893784e+01,0
1,2,295,1.016362e+02,0
1,2,300,1.060993e+02,0
1,2,305,1.066858e+02,0
1,2,310,1.072132e+02,0
1,2,315,1.090770e+02,0
1,2,320,1.117336e+02,0
1,2,325,1.139648e+02,0
1,2,330,1.167118e+02,0
1,2,335,1.180462e+02,0
1,2,340,1.190687e+02,0
1,2,345,1.195124e+02,0
1,2,350,1.222020e+02,0
1,2,355,1.246793e+02,0
1,2,360,1.288199e+02,0
1,2,365,1.313363e+02,0
1,2,370,1.357570e+02,0
1,2,375,1.371699e+02,0
1,2,380,1.435797e+02,0
1,2,385,1.457875e+02,0
1,2,390,1.524224e+02,0
1,2,395,1.578136e+02,0
1,2,400,1.584503e+02,0
1,2,405,1.630872e+02,0
1,2,410,1.704011e+02,0
1,2,415,1.764392e+02,0
1,2,420,1.792172e+02,0
1,2,425,1.822658e+02,0
1,2,430,1.845281e+02,0
1,2,435,1.849794e+02,0
