"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
24,1,955,"petite","second-15min",366,232,50042,50097,598,100139,38530,22586,5169296,4925475,61116,10094771,"Equal Growth Rates"
24,2,960,"petite","second-15min",21,264,5217,94870,285,100087,4050,44072,550901,9587775,48122,10138676,"Equal Growth Rates"
12,1,955,"petite","second-15min",363,237,50104,50163,600,100267,38613,22634,5175283,4935404,61247,10110687,"Equal Growth Rates"
12,2,960,"petite","second-15min",24,275,6433,93632,299,100065,5009,43487,681202,9462268,48496,10143470,"Equal Growth Rates"
12,3,960,"petite","second-15min",1,276,404,99890,277,100294,307,46354,42367,10090204,46661,10132571,"Equal Growth Rates"
15,1,955,"petite","second-15min",352,226,50078,50012,578,100090,38631,22676,5169274,4922164,61307,10091438,"Equal Growth Rates"
15,2,960,"petite","second-15min",24,270,6315,93742,294,100057,4935,43548,666586,9473038,48483,10139624,"Equal Growth Rates"
15,3,960,"petite","second-15min",1,275,223,99804,276,100027,179,46324,24039,10087034,46503,10111073,"Equal Growth Rates"
41,1,955,"petite","second-15min",382,230,50022,50042,612,100064,38786,22687,5170699,4929535,61473,10100234,"Equal Growth Rates"
41,2,960,"petite","second-15min",19,267,5088,94995,286,100083,3988,43990,537809,9591069,47978,10128878,"Equal Growth Rates"
41,3,960,"petite","second-15min",1,281,380,99759,282,100139,308,46358,40281,10080015,46666,10120296,"Equal Growth Rates"
46,1,955,"petite","second-15min",374,232,50030,50014,606,100044,38635,22673,5166481,4928258,61308,10094739,"Equal Growth Rates"
46,2,960,"petite","second-15min",17,275,5253,95074,292,100327,4060,44099,553607,9604398,48159,10158005,"Equal Growth Rates"
46,3,960,"petite","second-15min",1,277,350,99960,278,100310,270,46398,37047,10096455,46668,10133502,"Equal Growth Rates"
48,1,955,"petite","second-15min",366,222,50043,50174,588,100217,38398,22786,5154534,4943642,61184,10098176,"Equal Growth Rates"
48,2,960,"petite","second-15min",28,262,7696,92466,290,100162,6022,42919,815743,9327876,48941,10143619,"Equal Growth Rates"
48,3,960,"petite","second-15min",2,267,610,99630,269,100240,474,46350,64703,10061447,46824,10126150,"Equal Growth Rates"
33,1,955,"petite","second-15min",369,227,50050,50191,596,100241,38434,22711,5158639,4935862,61145,10094501,"Equal Growth Rates"
33,2,960,"petite","second-15min",20,280,5440,94895,300,100335,4271,44042,574413,9592624,48313,10167037,"Equal Growth Rates"
9,1,955,"petite","second-15min",374,228,50126,50088,602,100214,38465,22698,5165978,4931523,61163,10097501,"Equal Growth Rates"
9,2,960,"petite","second-15min",24,272,6479,93664,296,100143,5088,43593,689127,9470662,48681,10159789,"Equal Growth Rates"
9,3,960,"petite","second-15min",3,274,748,99474,277,100222,593,46225,79854,10045911,46818,10125765,"Equal Growth Rates"
34,1,955,"petite","second-15min",380,230,50124,50194,610,100318,38575,22654,5156834,4937193,61229,10094027,"Equal Growth Rates"
34,2,960,"petite","second-15min",20,270,5332,94816,290,100148,4143,44149,564735,9585615,48292,10150350,"Equal Growth Rates"
7,1,955,"petite","second-15min",375,236,50034,50221,611,100255,38438,22794,5167077,4953773,61232,10120850,"Equal Growth Rates"
7,2,960,"petite","second-15min",18,270,4921,95355,288,100276,3884,44384,522327,9643354,48268,10165681,"Equal Growth Rates"
6,1,955,"petite","second-15min",364,223,50154,50442,587,100596,38673,22852,5173039,4975191,61525,10148230,"Equal Growth Rates"
6,2,960,"petite","second-15min",22,257,5879,94282,279,100161,4492,43690,619890,9526450,48182,10146340,"Equal Growth Rates"
6,3,960,"petite","second-15min",1,270,335,99726,271,100061,260,46250,34609,10072893,46510,10107502,"Equal Growth Rates"
1,1,955,"petite","second-15min",349,234,50039,50043,583,100082,38516,22614,5164527,4929471,61130,10093998,"Equal Growth Rates"
1,2,960,"petite","second-15min",14,276,4064,95984,290,100048,3146,44634,431239,9694804,47780,10126043,"Equal Growth Rates"
1,3,960,"petite","second-15min",1,270,319,99865,271,100184,250,46272,33839,10090331,46522,10124170,"Equal Growth Rates"
8,1,955,"petite","second-15min",384,238,50126,50103,622,100229,38692,22572,5179551,4935222,61264,10114773,"Equal Growth Rates"
8,2,960,"petite","second-15min",23,263,6085,94105,286,100190,4778,43701,644955,9509738,48479,10154693,"Equal Growth Rates"
35,1,955,"petite","second-15min",368,221,50148,50015,589,100163,38578,22707,5176827,4931324,61285,10108151,"Equal Growth Rates"
35,2,960,"petite","second-15min",22,284,5096,95113,306,100209,4010,44142,542038,9599150,48152,10141188,"Equal Growth Rates"
35,3,960,"petite","second-15min",3,265,785,99358,268,100143,623,46246,83459,10042971,46869,10126430,"Equal Growth Rates"
32,1,955,"petite","second-15min",371,231,50021,50036,602,100057,38501,22780,5161627,4934827,61281,10096454,"Equal Growth Rates"
32,2,960,"petite","second-15min",23,279,6221,93825,302,100046,4819,43540,657754,9485753,48359,10143507,"Equal Growth Rates"
50,1,955,"petite","second-15min",365,213,50064,50051,578,100115,38651,22737,5161845,4932098,61388,10093943,"Equal Growth Rates"
50,2,960,"petite","second-15min",23,269,6105,93990,292,100095,4713,43715,646368,9484297,48428,10130665,"Equal Growth Rates"
50,3,960,"petite","second-15min",1,273,390,99617,274,100007,298,46255,41755,10069517,46553,10111272,"Equal Growth Rates"
50,4,960,"petite","second-15min",1,269,357,99934,270,100291,283,46517,38402,10085469,46800,10123871,"Equal Growth Rates"
43,1,955,"petite","second-15min",375,218,50143,50077,593,100220,38724,22669,5171661,4937765,61393,10109426,"Equal Growth Rates"
43,2,960,"petite","second-15min",18,280,4851,95327,298,100178,3787,44297,514081,9639338,48084,10153419,"Equal Growth Rates"
44,1,955,"petite","second-15min",365,236,50039,50185,601,100224,38666,22675,5167205,4939335,61341,10106540,"Equal Growth Rates"
44,2,960,"petite","second-15min",23,276,5712,94304,299,100016,4457,43732,604543,9534605,48189,10139148,"Equal Growth Rates"
44,3,960,"petite","second-15min",2,282,549,99817,284,100366,429,46373,58706,10081664,46802,10140370,"Equal Growth Rates"
10,1,955,"petite","second-15min",355,230,50082,50389,585,100471,38633,22857,5169380,4956432,61490,10125812,"Equal Growth Rates"
10,2,960,"petite","second-15min",19,274,5763,94448,293,100211,4465,43928,614213,9540512,48393,10154725,"Equal Growth Rates"
17,1,955,"petite","second-15min",376,220,50116,50210,596,100326,38627,22768,5182142,4948476,61395,10130618,"Equal Growth Rates"
17,2,960,"petite","second-15min",18,280,4903,95232,298,100135,3801,44308,518923,9618490,48109,10137413,"Equal Growth Rates"
17,3,960,"petite","second-15min",2,265,524,99752,267,100276,409,46404,55024,10083394,46813,10138418,"Equal Growth Rates"
