"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
11,1,700,"petite","second",2,1,188,118,3,306,55,28,5195,4908,83,10103,"10k"
37,1,870,"petite","second",6,5,580,543,11,1123,393,418,38634,62998,811,101632,"100k"
37,2,850,"petite","second",1,5,51,972,6,1023,34,629,3339,98282,663,101621,"100k"
30,1,870,"petite","second",6,5,600,551,11,1151,398,414,40038,61508,812,101546,"100k"
30,2,875,"petite","second",3,3,349,662,6,1011,254,515,25786,76461,769,102247,"100k"
39,1,860,"petite","second",7,4,592,606,11,1198,369,417,36864,65353,786,102217,"100k"
39,2,865,"petite","second",1,2,232,770,3,1002,163,558,16132,85100,721,101232,"100k"
39,3,850,"petite","second",1,6,87,935,7,1022,54,625,5529,94494,679,100023,"100k"
39,4,845,"petite","second",1,5,72,998,6,1070,44,637,4453,96641,681,101094,"100k"
4,1,830,"petite","second",6,3,673,729,9,1402,362,426,36526,65877,788,102403,"100k"
4,2,910,"petite","second",7,2,746,258,9,1004,651,240,64926,36444,891,101370,"100k"
3,1,870,"petite","second",5,5,530,578,10,1108,355,447,34708,65734,802,100442,"100k"
3,2,885,"petite","second",5,3,656,398,8,1054,526,316,51315,49058,842,100373,"100k"
3,3,845,"petite","second",6,3,476,738,9,1214,304,470,29848,72241,774,102089,"100k"
3,4,865,"petite","second",5,3,490,599,8,1089,353,442,35157,66065,795,101222,"100k"
3,5,850,"petite","second",4,5,413,734,9,1147,272,484,26852,73447,756,100299,"100k"
3,6,865,"petite","second",3,5,371,707,8,1078,259,486,25907,75745,745,101652,"100k"
3,7,875,"petite","second",3,3,364,643,6,1007,279,484,27146,73767,763,100913,"100k"
3,8,835,"petite","second",2,7,232,939,9,1171,133,578,13503,87245,711,100748,"100k"
3,9,875,"petite","second",3,6,404,618,9,1022,312,483,29404,72102,795,101506,"100k"
3,10,865,"petite","second",2,4,212,791,6,1003,152,583,15003,87192,735,102195,"100k"
3,11,805,"petite","second",1,5,76,1237,6,1313,38,643,3907,96511,681,100418,"100k"
2,1,860,"petite","second",7,4,554,618,11,1172,351,421,34802,66607,772,101409,"100k"
2,2,855,"petite","second",1,4,78,924,5,1002,60,637,5126,96360,697,101486,"100k"
38,1,860,"petite","second",5,4,567,618,9,1185,351,442,35592,66405,793,101997,"100k"
38,2,860,"petite","second",6,4,551,611,10,1162,375,430,37183,65555,805,102738,"100k"
38,3,865,"petite","second",4,4,484,591,8,1075,349,437,34132,66012,786,100144,"100k"
38,4,835,"petite","second",1,6,61,1052,7,1113,36,621,3468,97206,657,100674,"100k"
5,1,835,"petite","second",6,4,516,795,10,1311,292,470,28474,73963,762,102437,"100k"
5,2,860,"petite","second",5,3,419,679,8,1098,298,471,28220,72535,769,100755,"100k"
5,3,850,"petite","second",2,4,184,868,6,1052,126,594,11901,88201,720,100102,"100k"
31,1,885,"petite","second",6,4,516,537,10,1053,369,427,36867,65760,796,102627,"100k"
31,2,865,"petite","second",3,5,344,698,8,1042,239,473,24052,76493,712,100545,"100k"
31,3,820,"petite","second",1,6,97,1113,7,1210,51,617,5127,95084,668,100211,"100k"
36,1,860,"petite","second",5,4,674,546,9,1220,433,379,41779,58355,812,100134,"100k"
36,2,895,"petite","second",7,2,782,292,9,1074,648,256,64132,38138,904,102270,"100k"
36,3,905,"petite","second",8,2,765,248,10,1013,673,228,65902,34603,901,100505,"100k"
36,4,895,"petite","second",7,1,877,218,8,1095,727,188,72154,27932,915,100086,"100k"
36,5,915,"petite","second",9,1,900,133,10,1033,815,134,81664,19630,949,101294,"100k"
36,6,905,"petite","second",8,1,897,166,9,1063,811,142,78682,23018,953,101700,"100k"
36,7,925,"petite","second",9,1,938,71,10,1009,906,74,89630,11210,980,100840,"100k"
36,8,920,"petite","second",8,1,989,59,9,1048,925,61,91827,8777,986,100604,"100k"
14,1,890,"petite","second",6,2,519,504,8,1023,392,397,38600,63870,789,102470,"100k"
14,2,880,"petite","second",4,3,467,555,7,1022,355,433,35158,65541,788,100699,"100k"
14,3,855,"petite","second",3,6,257,810,9,1067,181,541,17221,83061,722,100282,"100k"
13,1,855,"petite","second",5,2,799,507,7,1306,503,334,49397,52102,837,101499,"100k"
13,2,860,"petite","second",4,5,318,739,9,1057,218,508,21774,79028,726,100802,"100k"
13,3,835,"petite","second",2,6,123,1013,8,1136,74,618,7306,93272,692,100578,"100k"
25,1,875,"petite","second",5,3,525,567,8,1092,385,432,36283,65483,817,101766,"100k"
25,2,855,"petite","second",3,7,315,765,10,1080,208,529,20719,79880,737,100599,"100k"
22,1,830,"petite","second",5,4,625,767,9,1392,339,453,34183,68119,792,102302,"100k"
22,2,860,"petite","second",1,8,146,865,9,1011,101,619,10402,92285,720,102687,"100k"
22,3,840,"petite","second",1,7,35,1048,8,1083,21,633,2112,98048,654,100160,"100k"
49,1,890,"petite","second",5,3,527,504,8,1031,394,403,39190,63328,797,102518,"100k"
49,2,875,"petite","second",6,3,589,496,9,1085,436,397,43966,58313,833,102279,"100k"
49,3,845,"petite","second",3,6,390,771,9,1161,272,491,25090,75728,763,100818,"100k"
49,4,845,"petite","second",4,5,297,866,9,1163,192,556,18443,84022,748,102465,"100k"
49,5,820,"petite","second",1,4,119,1116,5,1235,62,609,6450,94925,671,101375,"100k"
49,6,855,"petite","second",1,5,77,944,6,1021,49,661,4909,96960,710,101869,"100k"
49,7,845,"petite","second",2,6,185,913,8,1098,118,589,11606,90391,707,101997,"100k"
47,1,880,"petite","second",5,3,524,560,8,1084,364,441,36089,65764,805,101853,"100k"
47,2,855,"petite","second",3,4,327,768,7,1095,218,525,21413,79344,743,100757,"100k"
40,1,870,"petite","second",5,4,575,558,9,1133,391,405,37820,63224,796,101044,"100k"
40,2,860,"petite","second",1,7,74,928,8,1002,56,649,5140,97321,705,102461,"100k"
40,3,840,"petite","second",1,8,61,1034,9,1095,41,649,3807,98776,690,102583,"100k"
40,4,855,"petite","second",1,8,75,930,9,1005,52,637,4939,96082,689,101021,"100k"
23,1,875,"petite","second",6,4,530,549,10,1079,369,421,35902,64356,790,100258,"100k"
23,2,860,"petite","second",3,5,289,766,8,1055,196,553,19470,82529,749,101999,"100k"
24,1,850,"petite","second",5,5,651,626,10,1277,399,417,38833,62979,816,101812,"100k"
24,2,870,"petite","second",3,4,241,759,7,1000,185,556,17116,84603,741,101719,"100k"
12,1,875,"petite","second",6,5,540,561,11,1101,360,426,36774,64295,786,101069,"100k"
12,2,860,"petite","second",5,4,598,569,9,1167,404,398,40948,60958,802,101906,"100k"
12,3,865,"petite","second",3,4,330,707,7,1037,235,516,23495,78469,751,101964,"100k"
12,4,850,"petite","second",1,6,69,942,7,1011,47,636,4340,96585,683,100925,"100k"
15,1,875,"petite","second",6,3,554,542,9,1096,397,413,38109,63145,810,101254,"100k"
15,2,865,"petite","second",3,3,336,698,6,1034,242,508,23813,77701,750,101514,"100k"
