"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
39,5,"petite","second-15min",2516,3036,345298,651487,5552,996785,208,305,29401,70929,513,100330,"Equal Growth Rates"
39,6,"petite","second-15min",2213,3217,303760,699629,5430,1003389,169,326,25266,75025,495,100291,"Equal Growth Rates"
39,7,"petite","second-15min",1859,3589,252947,784609,5448,1037556,143,343,20896,79145,486,100041,"Equal Growth Rates"
39,8,"petite","second-15min",1589,3717,209676,802771,5306,1012447,124,352,17367,82733,476,100100,"Equal Growth Rates"
39,9,"petite","second-15min",1356,3845,186649,831486,5201,1018135,83,368,13348,87012,451,100360,"Equal Growth Rates"
39,10,"petite","second-15min",1015,4059,138753,880288,5074,1019041,80,384,11681,88320,464,100001,"Equal Growth Rates"
39,11,"petite","second-15min",876,4137,118894,897207,5013,1016101,64,401,9088,91030,465,100118,"Equal Growth Rates"
39,12,"petite","second-15min",749,4183,98807,908408,4932,1007215,61,379,8386,91866,440,100252,"Equal Growth Rates"
39,13,"petite","second-15min",662,4257,89946,908355,4919,998301,50,400,7466,92620,450,100086,"Equal Growth Rates"
39,14,"petite","second-15min",581,4297,78328,930936,4878,1009264,41,415,5983,94027,456,100010,"Equal Growth Rates"
39,15,"petite","second-15min",433,4384,56659,952348,4817,1009007,33,406,5189,94978,439,100167,"Equal Growth Rates"
39,16,"petite","second-15min",426,4379,58096,948647,4805,1006743,36,412,5411,94689,448,100100,"Equal Growth Rates"
39,17,"petite","second-15min",446,4367,61372,951407,4813,1012779,31,413,3923,96451,444,100374,"Equal Growth Rates"
39,18,"petite","second-15min",305,4486,40058,968246,4791,1008304,23,421,3264,96759,444,100023,"Equal Growth Rates"
39,19,"petite","second-15min",261,4474,36261,973617,4735,1009878,18,421,2880,97399,439,100279,"Equal Growth Rates"
39,20,"petite","second-15min",219,4521,30726,983698,4740,1014424,10,435,1337,98776,445,100113,"Equal Growth Rates"
39,21,"petite","second-15min",87,4600,11167,999833,4687,1011000,5,444,795,99452,449,100247,"Equal Growth Rates"
39,22,"petite","second-15min",49,4633,7322,1003354,4682,1010676,2,447,386,99661,449,100047,"Equal Growth Rates"
39,23,"petite","second-15min",31,4627,3626,998494,4658,1002120,1,432,206,99860,433,100066,"Equal Growth Rates"
39,24,"petite","second-15min",10,4658,1418,1007546,4668,1008964,2,434,452,99588,436,100040,"Equal Growth Rates"
39,25,"petite","second-15min",38,4612,5211,1005214,4650,1010425,2,430,230,99970,432,100200,"Equal Growth Rates"
39,26,"petite","second-15min",13,4650,1886,1014456,4663,1016342,4,429,780,99619,433,100399,"Equal Growth Rates"
39,27,"petite","second-15min",61,4618,7872,1005531,4679,1013403,7,422,932,99148,429,100080,"Equal Growth Rates"
39,28,"petite","second-15min",78,4598,10069,1002646,4676,1012715,5,420,575,99578,425,100153,"Equal Growth Rates"
39,29,"petite","second-15min",42,4636,5485,1004804,4678,1010289,6,434,754,99353,440,100107,"Equal Growth Rates"
39,30,"petite","second-15min",70,4622,9928,1003509,4692,1013437,6,419,903,99170,425,100073,"Equal Growth Rates"
