"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
35,1,"petite","second-15min",3883,2246,519328,484102,6129,1003430,22,284,5096,95113,306,100209,"Equal Growth Rates"
35,2,"petite","second-15min",408,4408,53749,963407,4816,1017156,3,265,785,99358,268,100143,"Equal Growth Rates"
32,1,"petite","second-15min",3865,2264,512229,488645,6129,1000874,23,279,6221,93825,302,100046,"Equal Growth Rates"
50,1,"petite","second-15min",3925,2214,524744,481563,6139,1006307,23,269,6105,93990,292,100095,"Equal Growth Rates"
50,2,"petite","second-15min",471,4372,65248,943435,4843,1008683,1,273,390,99617,274,100007,"Equal Growth Rates"
50,3,"petite","second-15min",29,4627,4583,1012791,4656,1017374,1,269,357,99934,270,100291,"Equal Growth Rates"
43,1,"petite","second-15min",3858,2282,510041,497305,6140,1007346,18,280,4851,95327,298,100178,"Equal Growth Rates"
44,1,"petite","second-15min",3873,2262,515968,495404,6135,1011372,23,276,5712,94304,299,100016,"Equal Growth Rates"
44,2,"petite","second-15min",424,4395,57200,954387,4819,1011587,2,282,549,99817,284,100366,"Equal Growth Rates"
10,1,"petite","second-15min",3813,2336,509132,508765,6149,1017897,19,274,5763,94448,293,100211,"Equal Growth Rates"
17,1,"petite","second-15min",3832,2308,512649,504791,6140,1017440,18,280,4903,95232,298,100135,"Equal Growth Rates"
17,2,"petite","second-15min",375,4436,51229,962718,4811,1013947,2,265,524,99752,267,100276,"Equal Growth Rates"
28,1,"petite","second-15min",3862,2286,513000,497892,6148,1010892,20,283,5116,94971,303,100087,"Equal Growth Rates"
21,1,"petite","second-15min",3839,2299,509616,497464,6138,1007080,27,276,7181,93073,303,100254,"Equal Growth Rates"
21,2,"petite","second-15min",547,4332,74949,939007,4879,1013956,1,268,255,99865,269,100120,"Equal Growth Rates"
26,1,"petite","second-15min",3822,2303,513837,507891,6125,1021728,17,269,5227,95109,286,100336,"Equal Growth Rates"
19,1,"petite","second-15min",3832,2300,510633,498874,6132,1009507,29,267,7549,92588,296,100137,"Equal Growth Rates"
45,1,"petite","second-15min",3852,2262,515048,493062,6114,1008110,12,282,2987,97190,294,100177,"Equal Growth Rates"
42,1,"petite","second-15min",3888,2247,523607,485904,6135,1009511,27,270,7589,92905,297,100494,"Equal Growth Rates"
42,2,"petite","second-15min",596,4310,79245,944251,4906,1023496,1,267,304,99869,268,100173,"Equal Growth Rates"
27,1,"petite","second-15min",3846,2261,518183,498050,6107,1016233,12,264,3558,96455,276,100013,"Equal Growth Rates"
27,2,"petite","second-15min",275,4481,36337,980665,4756,1017002,1,270,382,99777,271,100159,"Equal Growth Rates"
18,1,"petite","second-15min",3915,2230,529031,483942,6145,1012973,20,270,5971,94305,290,100276,"Equal Growth Rates"
18,2,"petite","second-15min",449,4427,62263,942407,4876,1004670,1,283,300,99779,284,100079,"Equal Growth Rates"
20,1,"petite","second-15min",3856,2252,515497,491938,6108,1007435,21,281,5505,94688,302,100193,"Equal Growth Rates"
20,2,"petite","second-15min",404,4416,56224,963640,4820,1019864,1,270,262,99955,271,100217,"Equal Growth Rates"
16,1,"petite","second-15min",3882,2273,513830,494277,6155,1008107,21,272,5944,94163,293,100107,"Equal Growth Rates"
29,1,"petite","second-15min",3839,2295,517122,496727,6134,1013849,24,275,6772,93306,299,100078,"Equal Growth Rates"
11,1,"petite","second-15min",3873,2246,520413,492858,6119,1013271,16,275,5081,94984,291,100065,"Equal Growth Rates"
37,1,"petite","second",3793,4159,372623,636723,7952,1009346,10,395,2090,97950,405,100040,"Normal"
37,2,"petite","second",149,6474,14324,981547,6623,995871,1,379,224,100070,380,100294,"Normal"
30,1,"petite","second",3738,4214,368525,641112,7952,1009637,11,390,2355,97911,401,100266,"Normal"
39,1,"petite","second",3692,4273,362061,652313,7965,1014374,12,385,2481,97530,397,100011,"Normal"
