"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
30,21,"petite","second",3702,4183,360440,639765,8366,1279530,10,385,2088,98142,770,196284,"10mill-boot"
30,22,"petite","second",3705,4239,356286,643829,8478,1287658,8,399,1510,98776,798,197552,"10mill-boot"
30,23,"petite","second",3856,4125,371297,628756,8250,1257512,11,400,1823,98611,800,197222,"10mill-boot"
30,24,"petite","second",3914,4106,376834,623189,8212,1246378,10,393,1792,98319,786,196638,"10mill-boot"
30,25,"petite","second",3797,4140,368336,631699,8280,1263398,15,384,2923,97481,768,194962,"10mill-boot"
30,26,"petite","second",3820,4174,369114,630971,8348,1261942,13,386,2480,98114,772,196228,"10mill-boot"
30,27,"petite","second",3777,4148,366080,633939,8296,1267878,11,388,2199,98604,776,197208,"10mill-boot"
30,28,"petite","second",3812,4180,365825,634260,8360,1268520,11,385,1958,98119,770,196238,"10mill-boot"
30,29,"petite","second",3760,4165,364179,635916,8330,1271832,16,382,3211,96992,764,193984,"10mill-boot"
30,30,"petite","second",3821,4122,372012,628127,8244,1256254,16,380,2973,97051,760,194102,"10mill-boot"
39,1,"petite","second",3799,4184,369688,630390,8368,1260780,14,379,2288,98386,758,196772,"10mill-boot"
39,2,"petite","second",3808,4105,374088,626036,8210,1252072,15,386,2608,97641,772,195282,"10mill-boot"
39,3,"petite","second",3806,4201,368449,631658,8402,1263316,18,380,3372,96761,760,193522,"10mill-boot"
39,4,"petite","second",3759,4168,365802,634286,8336,1268572,18,381,3261,96857,762,193714,"10mill-boot"
39,5,"petite","second",3837,4050,374279,625788,8100,1251576,15,387,2676,97677,774,195354,"10mill-boot"
39,6,"petite","second",3864,4099,374645,625659,8198,1251318,18,392,3016,97002,784,194004,"10mill-boot"
39,7,"petite","second",3772,4163,363256,636761,8326,1273522,20,374,3663,96352,748,192704,"10mill-boot"
39,8,"petite","second",3806,4142,368695,631336,8284,1262672,13,385,2559,97762,770,195524,"10mill-boot"
39,9,"petite","second",3866,4094,371149,628971,8188,1257942,9,392,1816,98818,784,197636,"10mill-boot"
39,10,"petite","second",3753,4128,369890,630333,8256,1260666,14,378,2814,97455,756,194910,"10mill-boot"
39,11,"petite","second",3868,4114,378414,621615,8228,1243230,16,390,2643,97877,780,195754,"10mill-boot"
39,12,"petite","second",3877,4083,378833,621285,8166,1242570,17,383,3404,96742,766,193484,"10mill-boot"
39,13,"petite","second",3900,4125,379777,620320,8250,1240640,10,393,1531,98486,786,196972,"10mill-boot"
39,14,"petite","second",3823,4126,372018,628001,8252,1256002,11,384,2063,97978,768,195956,"10mill-boot"
39,15,"petite","second",3907,4091,376775,623264,8182,1246528,15,386,2750,97468,772,194936,"10mill-boot"
39,16,"petite","second",3795,4103,373934,626246,8206,1252492,15,387,2494,97998,774,195996,"10mill-boot"
39,17,"petite","second",3735,4168,366823,633289,8336,1266578,10,394,1800,98698,788,197396,"10mill-boot"
39,18,"petite","second",3814,4133,371113,629055,8266,1258110,10,388,1914,98208,776,196416,"10mill-boot"
39,19,"petite","second",3847,4159,373425,626638,8318,1253276,16,391,2969,97102,782,194204,"10mill-boot"
39,20,"petite","second",3847,4064,377593,622411,8128,1244822,12,384,2096,98176,768,196352,"10mill-boot"
39,21,"petite","second",3856,4111,375582,624518,8222,1249036,14,385,2684,97722,770,195444,"10mill-boot"
39,22,"petite","second",3804,4152,370880,629217,8304,1258434,17,392,3202,96854,784,193708,"10mill-boot"
39,23,"petite","second",3834,4054,375459,624583,8108,1249166,8,381,1389,99014,762,198028,"10mill-boot"
39,24,"petite","second",3945,4061,384399,615680,8122,1231360,9,381,1835,98437,762,196874,"10mill-boot"
39,25,"petite","second",3858,4088,374414,625628,8176,1251256,14,385,2578,97535,770,195070,"10mill-boot"
39,26,"petite","second",3900,4080,382566,617453,8160,1234906,17,392,3124,97102,784,194204,"10mill-boot"
39,27,"petite","second",3870,4096,376305,623829,8192,1247658,7,379,1463,98593,758,197186,"10mill-boot"
39,28,"petite","second",3855,4092,375919,624136,8184,1248272,13,392,2519,97779,784,195558,"10mill-boot"
39,29,"petite","second",3768,4113,366765,633268,8226,1266536,8,380,1532,98624,760,197248,"10mill-boot"
39,30,"petite","second",3887,4098,380507,619523,8196,1239046,12,387,2114,98301,774,196602,"10mill-boot"
4,1,"petite","second",3848,4029,375856,624160,8058,1248320,14,372,2830,97217,744,194434,"10mill-boot"
4,2,"petite","second",3963,4028,385584,614501,8056,1229002,14,382,2707,97367,764,194734,"10mill-boot"
4,3,"petite","second",3859,4126,373584,626463,8252,1252926,15,395,2801,97706,790,195412,"10mill-boot"
4,4,"petite","second",3846,4058,376188,624025,8116,1248050,7,381,1278,98877,762,197754,"10mill-boot"
4,5,"petite","second",3899,4060,380886,619263,8120,1238526,14,383,2527,97513,766,195026,"10mill-boot"
4,6,"petite","second",3834,4046,375737,624349,8092,1248698,12,366,2275,97914,732,195828,"10mill-boot"
4,7,"petite","second",3901,4037,383074,617132,8074,1234264,17,382,3097,96935,764,193870,"10mill-boot"
4,8,"petite","second",3816,4076,370586,629429,8152,1258858,14,382,2563,97545,764,195090,"10mill-boot"
4,9,"petite","second",3818,4123,369549,630499,8246,1260998,15,396,2776,97447,792,194894,"10mill-boot"
4,10,"petite","second",3859,4036,379634,620369,8072,1240738,13,392,2460,98489,784,196978,"10mill-boot"
4,11,"petite","second",3758,4148,366348,633668,8296,1267336,16,381,2999,97441,762,194882,"10mill-boot"
4,12,"petite","second",3810,4034,375421,624623,8068,1249246,8,369,1476,98528,738,197056,"10mill-boot"
4,13,"petite","second",3887,4016,380780,619315,8032,1238630,10,379,1879,98128,758,196256,"10mill-boot"
4,14,"petite","second",3863,4058,379184,621064,8116,1242128,7,378,1323,99161,756,198322,"10mill-boot"
4,15,"petite","second",3770,4105,367308,632832,8210,1265664,10,379,1923,98584,758,197168,"10mill-boot"
4,16,"petite","second",3798,4037,374498,625562,8074,1251124,11,373,2210,98006,746,196012,"10mill-boot"
4,17,"petite","second",3849,4144,371958,628066,8288,1256132,15,377,2737,98037,754,196074,"10mill-boot"
4,18,"petite","second",3726,4072,367759,632270,8144,1264540,5,384,921,99161,768,198322,"10mill-boot"
4,19,"petite","second",3801,4084,371600,628456,8168,1256912,11,379,2012,98387,758,196774,"10mill-boot"
4,20,"petite","second",3736,4093,366912,633163,8186,1266326,16,377,3205,96871,754,193742,"10mill-boot"
4,21,"petite","second",3819,4122,368594,631477,8244,1262954,10,392,1753,98514,784,197028,"10mill-boot"
4,22,"petite","second",3909,4092,380056,620056,8184,1240112,10,391,1802,98263,782,196526,"10mill-boot"
4,23,"petite","second",3825,4083,370521,629597,8166,1259194,23,375,4328,95704,750,191408,"10mill-boot"
4,24,"petite","second",3750,4084,367322,632716,8168,1265432,9,382,1911,98301,764,196602,"10mill-boot"
4,25,"petite","second",3699,4128,363361,636723,8256,1273446,7,382,1398,98708,764,197416,"10mill-boot"
4,26,"petite","second",3816,4093,372876,627143,8186,1254286,15,380,2754,97608,760,195216,"10mill-boot"
4,27,"petite","second",3798,4104,372535,627505,8208,1255010,17,386,2987,97104,772,194208,"10mill-boot"
4,28,"petite","second",3805,4048,376625,623401,8096,1246802,12,379,2500,97735,758,195470,"10mill-boot"
4,29,"petite","second",3816,4068,370527,629563,8136,1259126,13,375,2420,97616,750,195232,"10mill-boot"
4,30,"petite","second",3718,4109,364155,635896,8218,1271792,7,387,1440,98807,774,197614,"10mill-boot"
3,1,"petite","second",3735,4275,364479,635741,8550,1271482,16,397,2758,97378,794,194756,"10mill-boot"
3,2,"petite","second",3721,4194,361842,638172,8388,1276344,12,391,2304,97777,782,195554,"10mill-boot"
3,3,"petite","second",3792,4185,365784,634279,8370,1268558,13,402,2311,98364,804,196728,"10mill-boot"
3,4,"petite","second",3802,4206,369201,630855,8412,1261710,11,403,2362,97873,806,195746,"10mill-boot"
3,5,"petite","second",3862,4170,374506,625503,8340,1251006,18,394,3405,96783,788,193566,"10mill-boot"
3,6,"petite","second",3773,4249,362493,637678,8498,1275356,15,394,3089,97000,788,194000,"10mill-boot"
3,7,"petite","second",3708,4263,360528,639498,8526,1278996,18,411,3111,97895,822,195790,"10mill-boot"
3,8,"petite","second",3669,4237,356736,643344,8474,1286688,12,394,2562,97534,788,195068,"10mill-boot"
3,9,"petite","second",3759,4233,364061,636079,8466,1272158,9,414,1564,98482,828,196964,"10mill-boot"
3,10,"petite","second",3676,4293,354890,645171,8586,1290342,11,402,1947,98318,804,196636,"10mill-boot"
