"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
3,2,850,"petite","second",2,37,512,9625,39,10137,319,6360,32878,974924,6679,1007802,"1mill"
2,1,890,"petite","second",51,32,5051,5087,83,10138,3823,4172,372495,643583,7995,1016078,"1mill"
2,2,850,"petite","second",3,38,571,9606,41,10177,368,6423,36982,972468,6791,1009450,"1mill"
2,3,850,"petite","second",1,37,217,9817,38,10034,144,6459,14266,991016,6603,1005282,"1mill"
38,1,890,"petite","second",56,33,5053,5153,89,10206,3829,4272,371993,652515,8101,1024508,"1mill"
5,1,890,"petite","second",49,38,5078,5025,87,10103,3866,4159,376606,637771,8025,1014377,"1mill"
5,2,850,"petite","second",1,39,263,9989,40,10252,181,6568,17167,1003859,6749,1021026,"1mill"
31,1,890,"petite","second",51,34,5118,5083,85,10201,3852,4238,377438,643921,8090,1021359,"1mill"
36,1,885,"petite","second",50,33,5104,5131,83,10235,3778,4144,366721,633349,7922,1000070,"1mill"
36,2,850,"petite","second",2,38,374,9777,40,10151,250,6457,24198,985506,6707,1009704,"1mill"
14,1,890,"petite","second",58,32,5072,5134,90,10206,3894,4241,375544,651845,8135,1027389,"1mill"
14,2,850,"petite","second",1,40,193,9821,41,10014,125,6461,12733,989683,6586,1002416,"1mill"
13,1,890,"petite","second",55,34,5086,5037,89,10123,3841,4231,376463,641543,8072,1018006,"1mill"
13,2,855,"petite","second",3,39,622,9381,42,10003,413,6347,41583,968827,6760,1010410,"1mill"
25,1,890,"petite","second",48,27,5037,5083,75,10120,3879,4213,371642,645361,8092,1017003,"1mill"
25,2,850,"petite","second",1,40,177,9876,41,10053,115,6537,11467,997645,6652,1009112,"1mill"
25,3,850,"petite","second",1,38,254,9833,39,10087,166,6431,16348,988911,6597,1005259,"1mill"
22,1,885,"petite","second",49,35,5036,5170,84,10206,3710,4161,363362,637950,7871,1001312,"1mill"
22,2,855,"petite","second",3,39,520,9575,42,10095,352,6565,34618,994343,6917,1028961,"1mill"
49,1,885,"petite","second",49,33,5007,5362,82,10369,3673,4358,361321,663934,8031,1025255,"1mill"
49,2,850,"petite","second",2,36,436,9860,38,10296,295,6526,28680,989949,6821,1018629,"1mill"
47,1,890,"petite","second",54,34,5113,5008,88,10121,3876,4239,378412,638805,8115,1017217,"1mill"
47,2,850,"petite","second",2,40,305,9747,42,10052,192,6383,19250,982859,6575,1002109,"1mill"
40,1,885,"petite","second",55,37,5070,5310,92,10380,3699,4323,365276,654334,8022,1019610,"1mill"
40,2,850,"petite","second",1,39,182,9924,40,10106,123,6551,11770,999922,6674,1011692,"1mill"
23,1,890,"petite","second",48,32,5030,5039,80,10069,3811,4189,370795,639741,8000,1010536,"1mill"
23,2,855,"petite","second",2,39,424,9583,41,10007,300,6473,28018,993962,6773,1021980,"1mill"
24,1,890,"petite","second",53,37,5009,5080,90,10089,3783,4242,370038,645430,8025,1015468,"1mill"
24,2,855,"petite","second",3,38,699,9305,41,10004,486,6359,46652,968384,6845,1015036,"1mill"
12,1,890,"petite","second",49,30,5026,5014,79,10040,3806,4181,369206,636338,7987,1005544,"1mill"
15,1,890,"petite","second",53,32,5016,5014,85,10030,3771,4148,371886,637839,7919,1009725,"1mill"
15,2,850,"petite","second",1,41,175,9981,42,10156,121,6630,11407,1002097,6751,1013504,"1mill"
41,1,890,"petite","second",53,38,5055,5048,91,10103,3842,4205,373588,639468,8047,1013056,"1mill"
41,2,855,"petite","second",3,40,619,9503,43,10122,413,6443,41595,987109,6856,1028704,"1mill"
46,1,890,"petite","second",55,33,5091,5146,88,10237,3799,4306,376081,650553,8105,1026634,"1mill"
46,2,855,"petite","second",2,40,525,9525,42,10050,340,6412,34484,987236,6752,1021720,"1mill"
48,1,890,"petite","second",52,33,5014,5019,85,10033,3795,4119,370635,633286,7914,1003921,"1mill"
48,2,855,"petite","second",3,40,537,9600,43,10137,361,6476,36079,992288,6837,1028367,"1mill"
33,1,890,"petite","second",51,34,5052,5020,85,10072,3816,4215,373857,638720,8031,1012577,"1mill"
33,2,855,"petite","second",4,37,832,9256,41,10088,547,6338,55279,959636,6885,1014915,"1mill"
9,1,890,"petite","second",54,36,5049,5043,90,10092,3749,4225,372413,642115,7974,1014528,"1mill"
9,2,850,"petite","second",2,42,431,9801,44,10232,289,6562,27910,993877,6851,1021787,"1mill"
34,1,890,"petite","second",50,33,5055,5056,83,10111,3802,4219,371491,641222,8021,1012713,"1mill"
7,1,890,"petite","second",50,33,5001,5090,83,10091,3812,4211,369958,646181,8023,1016139,"1mill"
6,1,890,"petite","second",47,27,5075,5008,74,10083,3827,4174,372639,635315,8001,1007954,"1mill"
1,1,890,"petite","second",49,34,5076,5090,83,10166,3794,4267,374072,645753,8061,1019825,"1mill"
1,2,850,"petite","second",3,42,445,9738,45,10183,298,6443,28832,978043,6741,1006875,"1mill"
8,1,890,"petite","second",51,34,5104,5119,85,10223,3828,4263,376018,645433,8091,1021451,"1mill"
8,2,850,"petite","second",3,40,460,9723,43,10183,317,6381,30319,976316,6698,1006635,"1mill"
35,1,890,"petite","second",47,37,5063,5019,84,10082,3798,4143,373352,634166,7941,1007518,"1mill"
35,2,855,"petite","second",2,37,358,9668,39,10026,237,6575,23741,1001829,6812,1025570,"1mill"
32,1,890,"petite","second",53,31,5021,5033,84,10054,3791,4158,370517,637329,7949,1007846,"1mill"
32,2,850,"petite","second",1,38,265,9775,39,10040,179,6468,17445,989791,6647,1007236,"1mill"
50,1,890,"petite","second",55,32,5053,5054,87,10107,3841,4181,374861,639203,8022,1014064,"1mill"
50,2,850,"petite","second",2,38,491,9815,40,10306,324,6477,31450,989865,6801,1021315,"1mill"
43,1,890,"petite","second",54,38,5054,5041,92,10095,3815,4197,371809,638776,8012,1010585,"1mill"
43,2,850,"petite","second",2,45,570,9649,47,10219,367,6395,36911,974606,6762,1011517,"1mill"
44,1,890,"petite","second",52,32,5068,5018,84,10086,3812,4179,371210,635052,7991,1006262,"1mill"
10,1,890,"petite","second",49,31,5092,5004,80,10096,3854,4121,375766,633049,7975,1008815,"1mill"
17,1,890,"petite","second",54,33,5194,5052,87,10246,3972,4216,385323,640303,8188,1025626,"1mill"
17,2,850,"petite","second",2,38,430,9702,40,10132,277,6392,27768,977210,6669,1004978,"1mill"
28,1,885,"petite","second",49,35,5087,5182,84,10269,3721,4163,366386,639188,7884,1005574,"1mill"
28,2,850,"petite","second",1,38,226,9785,39,10011,152,6461,14843,986599,6613,1001442,"1mill"
21,1,890,"petite","second",50,30,5034,5099,80,10133,3836,4252,370908,649469,8088,1020377,"1mill"
21,2,850,"petite","second",1,44,141,9879,45,10020,94,6540,9009,996616,6634,1005625,"1mill"
26,1,890,"petite","second",54,33,5061,5025,87,10086,3774,4219,372651,637997,7993,1010648,"1mill"
19,1,890,"petite","second",51,31,5058,5103,82,10161,3783,4233,374278,645511,8016,1019789,"1mill"
45,1,890,"petite","second",55,38,5147,5037,93,10184,3891,4203,379989,642867,8094,1022856,"1mill"
45,2,850,"petite","second",1,40,134,9971,41,10105,89,6581,8828,1008712,6670,1017540,"1mill"
42,1,890,"petite","second",49,32,5115,5063,81,10178,3850,4232,376435,644912,8082,1021347,"1mill"
42,2,850,"petite","second",1,40,139,10000,41,10139,86,6562,9062,1005246,6648,1014308,"1mill"
27,1,890,"petite","second",47,33,5058,5042,80,10100,3804,4120,374857,634708,7924,1009565,"1mill"
18,1,890,"petite","second",49,33,5067,5085,82,10152,3839,4201,373953,644890,8040,1018843,"1mill"
18,2,850,"petite","second",1,42,153,9921,43,10074,103,6507,10095,997586,6610,1007681,"1mill"
20,1,885,"petite","second",53,35,5063,5160,88,10223,3677,4177,362621,638624,7854,1001245,"1mill"
16,1,890,"petite","second",52,38,5001,5029,90,10030,3748,4176,368539,637814,7924,1006353,"1mill"
16,2,850,"petite","second",2,38,390,9759,40,10149,266,6474,25584,982425,6740,1008009,"1mill"
29,1,885,"petite","second",49,36,5069,5131,85,10200,3754,4162,364874,635259,7916,1000133,"1mill"
29,2,850,"petite","second",2,41,360,9718,43,10078,240,6450,23081,981728,6690,1004809,"1mill"
29,3,850,"petite","second",1,39,236,9834,40,10070,160,6531,15494,987947,6691,1003441,"1mill"
11,1,890,"petite","second",51,31,5046,5038,82,10084,3827,4117,372121,638109,7944,1010230,"1mill"
11,2,850,"petite","second",1,39,128,9963,40,10091,82,6551,8186,1000525,6633,1008711,"1mill"
37,1,890,"petite","second",498,322,50020,50064,820,100084,37726,41790,3689560,6361967,79516,10051527,"10mill"
37,2,850,"petite","second",10,395,2090,97950,405,100040,1361,64866,135909,9884058,66227,10019967,"10mill"
37,3,850,"petite","second",1,379,224,100070,380,100294,148,66141,14661,10089702,66289,10104363,"10mill"
30,1,890,"petite","second",515,328,50073,50079,843,100152,37731,41786,3695017,6367423,79517,10062440,"10mill"
30,2,850,"petite","second",11,390,2355,97911,401,100266,1526,64699,151527,9886495,66225,10038022,"10mill"
39,1,890,"petite","second",502,324,50074,50152,826,100226,37850,41793,3700467,6367201,79643,10067668,"10mill"
39,2,855,"petite","second",12,385,2481,97530,397,100011,1671,66295,164666,10122291,67966,10286957,"10mill"
4,1,890,"petite","second",513,320,50108,50073,833,100181,37854,41800,3689231,6347323,79654,10036554,"10mill"
4,2,850,"petite","second",10,391,1982,98284,401,100266,1256,64890,128186,9895683,66146,10023869,"10mill"
4,3,850,"petite","second",1,394,224,99931,395,100155,144,65889,14504,10083300,66033,10097804,"10mill"
3,1,890,"petite","second",524,326,50048,50075,850,100123,37715,41567,3692179,6346830,79282,10039009,"10mill"
3,2,850,"petite","second",17,400,3393,97104,417,100497,2222,64182,219286,9793656,66404,10012942,"10mill"
2,1,890,"petite","second",509,325,50093,50281,834,100374,37903,41946,3700319,6393696,79849,10094015,"10mill"
2,2,850,"petite","second",10,395,1950,98163,405,100113,1290,65017,125755,9918998,66307,10044753,"10mill"
2,3,850,"petite","second",1,384,281,100166,385,100447,194,66299,18341,10098222,66493,10116563,"10mill"
38,1,890,"petite","second",508,317,50067,50162,825,100229,37839,41713,3697687,6371794,79552,10069481,"10mill"
38,2,855,"petite","second",16,390,3150,96852,406,100002,2104,65886,208287,10049769,67990,10258056,"10mill"
5,1,890,"petite","second",497,334,50020,50008,831,100028,37782,41694,3691051,6340738,79476,10031789,"10mill"
5,2,850,"petite","second",12,402,2310,97975,414,100285,1521,64611,150893,9880309,66132,10031202,"10mill"
31,1,890,"petite","second",505,335,50153,50068,840,100221,37900,41652,3703894,6353232,79552,10057126,"10mill"
31,2,850,"petite","second",8,393,1494,98600,401,100094,951,65182,96602,9942567,66133,10039169,"10mill"
36,1,890,"petite","second",525,322,50083,50007,847,100090,37817,41694,3696796,6336952,79511,10033748,"10mill"
36,2,855,"petite","second",17,387,3367,96870,404,100237,2265,65912,224875,10045881,68177,10270756,"10mill"
36,3,850,"petite","second",2,387,502,99714,389,100216,330,66036,32211,10066401,66366,10098612,"10mill"
14,1,890,"petite","second",512,332,50114,50039,844,100153,37821,41483,3700005,6342688,79304,10042693,"10mill"
14,2,855,"petite","second",12,390,2441,97616,402,100057,1661,66338,162337,10121807,67999,10284144,"10mill"
13,1,890,"petite","second",494,331,50027,50097,825,100124,37710,41819,3692013,6366917,79529,10058930,"10mill"
13,2,850,"petite","second",9,386,1942,98272,395,100214,1276,64860,125476,9895665,66136,10021141,"10mill"
25,1,890,"petite","second",505,326,50006,50223,831,100229,37725,41843,3695985,6377688,79568,10073673,"10mill"
25,2,850,"petite","second",8,402,1289,98928,410,100217,845,65539,83501,10001934,66384,10085435,"10mill"
22,1,890,"petite","second",506,327,50040,50033,833,100073,37747,41573,3691703,6335993,79320,10027696,"10mill"
22,2,850,"petite","second",11,393,2051,98034,404,100085,1324,64824,132820,9892179,66148,10024999,"10mill"
