"sim_number","generation_number","diff_minutes","experiment","percent_cell_cycle","experiment_name"
1,0,28.7927,"slow_first_div",0.273348284524782,"Slow First Division"
1,0,20.9768,"slow_first_div",0.199146738403118,"Slow First Division"
1,0,33.1285,"slow_first_div",0.314510922694962,"Slow First Division"
1,0,31.9623,"slow_first_div",0.303439409102531,"Slow First Division"
1,0,25.8116,"slow_first_div",0.245046716037046,"Slow First Division"
1,0,28.442,"slow_first_div",0.270018855767394,"Slow First Division"
1,0,52.0343,"slow_first_div",0.493996278273586,"Slow First Division"
1,0,25.8951,"slow_first_div",0.245839437169758,"Slow First Division"
1,0,51.7707,"slow_first_div",0.491493747847445,"Slow First Division"
1,0,65.3859,"slow_first_div",0.620751912710824,"Slow First Division"
1,0,24.099,"slow_first_div",0.228787863200142,"Slow First Division"
1,0,13.6846,"slow_first_div",0.129917025301824,"Slow First Division"
1,0,26.8207,"slow_first_div",0.254626774660029,"Slow First Division"
1,0,22.5562,"slow_first_div",0.214141034894188,"Slow First Division"
1,0,53.7975,"slow_first_div",0.510735510623247,"Slow First Division"
1,0,20.6183,"slow_first_div",0.195743259048902,"Slow First Division"
1,0,40.5845,"slow_first_div",0.385295698329647,"Slow First Division"
1,0,25.6851,"slow_first_div",0.243845767255154,"Slow First Division"
1,0,47.713,"slow_first_div",0.452971298264176,"Slow First Division"
1,0,31.1253,"slow_first_div",0.295493210442897,"Slow First Division"
1,0,40.364,"slow_first_div",0.383202344919313,"Slow First Division"
1,0,35.7195,"slow_first_div",0.339109011974666,"Slow First Division"
1,0,41.358,"slow_first_div",0.39263904918177,"Slow First Division"
1,0,34.937,"slow_first_div",0.331680218126203,"Slow First Division"
1,0,37.4834,"slow_first_div",0.355854889890709,"Slow First Division"
1,0,24.241,"slow_first_div",0.230135963809064,"Slow First Division"
1,0,27.3253,"slow_first_div",0.259417278654834,"Slow First Division"
1,0,20.0954,"slow_first_div",0.190779020961539,"Slow First Division"
1,0,45.3784,"slow_first_div",0.430807385013541,"Slow First Division"
1,0,8.67389999999999,"slow_first_div",0.0823471117727585,"Slow First Division"
1,0,51.7115,"slow_first_div",0.490931722804852,"Slow First Division"
1,0,36.6186,"slow_first_div",0.347644767309047,"Slow First Division"
1,0,36.247,"slow_first_div",0.344116920926824,"Slow First Division"
1,0,33.5086,"slow_first_div",0.318119465240395,"Slow First Division"
1,0,22.6274,"slow_first_div",0.214816983931901,"Slow First Division"
1,0,5.4607,"slow_first_div",0.0518420633460731,"Slow First Division"
1,0,40.7159,"slow_first_div",0.386543166076213,"Slow First Division"
1,0,50.3243,"slow_first_div",0.477762108968957,"Slow First Division"
1,0,14.9219,"slow_first_div",0.141663538565343,"Slow First Division"
1,0,46.2452,"slow_first_div",0.439036494927723,"Slow First Division"
1,0,40.2402,"slow_first_div",0.382027029036323,"Slow First Division"
1,0,7.9803,"slow_first_div",0.0757623048548111,"Slow First Division"
1,0,4.1661,"slow_first_div",0.0395515630058555,"Slow First Division"
1,0,26.1208,"slow_first_div",0.247982157644644,"Slow First Division"
1,0,31.3203,"slow_first_div",0.2973444753636,"Slow First Division"
1,0,37.6899,"slow_first_div",0.357815331973402,"Slow First Division"
1,0,30.3454,"slow_first_div",0.28808910012671,"Slow First Division"
1,0,40.6718,"slow_first_div",0.386124495394146,"Slow First Division"
1,0,32.3113,"slow_first_div",0.306752698627277,"Slow First Division"
1,0,22.7229,"slow_first_div",0.215723629059733,"Slow First Division"
1,0,30.5267,"slow_first_div",0.289810301819651,"Slow First Division"
1,0,20.7976,"slow_first_div",0.197445473409323,"Slow First Division"
1,0,10.936,"slow_first_div",0.103822734219542,"Slow First Division"
1,0,20.1629,"slow_first_div",0.19141984343409,"Slow First Division"
1,1,40.6338,"slow_first_div",0.385763736076266,"Slow First Division"
1,1,47.479,"slow_first_div",0.450749780359332,"Slow First Division"
1,1,44.4209,"slow_first_div",0.421717199569575,"Slow First Division"
1,1,26.1175,"slow_first_div",0.247950828545985,"Slow First Division"
1,1,16.7603,"slow_first_div",0.159116694617757,"Slow First Division"
1,1,37.1097,"slow_first_div",0.352307106809341,"Slow First Division"
1,1,31.4235,"slow_first_div",0.298324221721634,"Slow First Division"
1,1,25.7318,"slow_first_div",0.244289121469497,"Slow First Division"
1,1,36.8253,"slow_first_div",0.349607108124992,"Slow First Division"
1,1,23.8041,"slow_first_div",0.225988181020063,"Slow First Division"
1,1,14.5275,"slow_first_div",0.137919236592392,"Slow First Division"
1,1,54.0148,"slow_first_div",0.512798484301549,"Slow First Division"
1,1,42.9113,"slow_first_div",0.407385560983454,"Slow First Division"
1,1,23.0404,"slow_first_div",0.218737868097288,"Slow First Division"
1,1,34.3677,"slow_first_div",0.326275473924375,"Slow First Division"
1,1,24.5484,"slow_first_div",0.233054316817393,"Slow First Division"
1,1,38.3385,"slow_first_div",0.363972923909649,"Slow First Division"
1,1,30.7113,"slow_first_div",0.29156283261125,"Slow First Division"
1,1,30.8377,"slow_first_div",0.292762832026516,"Slow First Division"
1,1,17.5121,"slow_first_div",0.166254032912038,"Slow First Division"
1,1,58.5698,"slow_first_div",0.556042134115925,"Slow First Division"
1,1,36.7596,"slow_first_div",0.348983374251709,"Slow First Division"
1,1,26.9317,"slow_first_div",0.255680571614891,"Slow First Division"
1,1,40.1889,"slow_first_div",0.381540003957184,"Slow First Division"
1,1,50.7467,"slow_first_div",0.481772233597188,"Slow First Division"
1,1,24.3087,"slow_first_div",0.230778685014867,"Slow First Division"
1,1,46.1133,"slow_first_div",0.437784280348027,"Slow First Division"
1,1,0.906800000000004,"slow_first_div",0.00860885656458316,"Slow First Division"
1,1,18.7268,"slow_first_div",0.17778598931808,"Slow First Division"
