"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
29,1,"petite","second-15min",534,311,52839,47930,845,100769,4,41,748,9254,45,10002,"Equal Growth Rates"
11,1,"petite","second-15min",510,339,49624,51138,849,100762,5,39,878,9289,44,10167,"Equal Growth Rates"
11,2,"petite","second-15min",94,612,9432,91457,706,100889,1,39,157,10104,40,10261,"Equal Growth Rates"
38,1,"petite","second",401,394,38114,58780,795,96894,30,44,3015,7100,74,10115,"Normal"
38,2,"petite","second",214,532,21120,79830,746,100950,19,54,1861,8173,73,10034,"Normal"
38,3,"petite","second",117,603,11672,90953,720,102625,10,54,842,9197,64,10039,"Normal"
38,4,"petite","second",73,613,7018,91017,686,98035,3,65,301,9706,68,10007,"Normal"
38,5,"petite","second",21,665,2100,97459,686,99559,2,57,143,9916,59,10059,"Normal"
8,1,"petite","second",379,429,37376,65321,808,102697,31,44,3248,6761,75,10009,"Normal"
8,2,"petite","second",238,505,24316,76460,743,100776,16,57,1729,8385,73,10114,"Normal"
8,3,"petite","second",121,588,11499,91115,709,102614,6,60,605,9580,66,10185,"Normal"
8,4,"petite","second",36,636,3601,97866,672,101467,3,62,283,9839,65,10122,"Normal"
8,5,"petite","second",14,652,1615,100948,666,102563,1,65,161,10017,66,10178,"Normal"
8,6,"petite","second",13,653,1345,99701,666,101046,2,60,263,9757,62,10020,"Normal"
8,7,"petite","second",24,654,2352,101610,678,103962,1,54,65,9935,55,10000,"Normal"
8,8,"petite","second",6,657,548,99881,663,100429,1,64,141,9921,65,10062,"Normal"
8,9,"petite","second",12,654,1162,98839,666,100001,3,64,235,9820,67,10055,"Normal"
39,1,"petite","second",377,438,36937,66743,815,103680,26,47,2602,7417,73,10019,"Normal"
39,2,"petite","second",166,572,16246,89053,738,105299,20,50,1784,8346,70,10130,"Normal"
39,3,"petite","second",134,571,13217,88800,705,102017,14,52,1431,8653,66,10084,"Normal"
39,4,"petite","second",92,608,9545,93697,700,103242,8,54,909,9247,62,10156,"Normal"
39,5,"petite","second",60,627,6111,93771,687,99882,2,59,261,9927,61,10188,"Normal"
39,6,"petite","second",16,656,1418,99747,672,101165,2,63,183,9872,65,10055,"Normal"
23,1,"petite","second",370,425,36993,64793,795,101786,26,45,3265,6740,71,10005,"Normal"
23,2,"petite","second",238,514,24595,78339,752,102934,16,43,1817,8210,59,10027,"Normal"
23,3,"petite","second",120,574,12318,88577,694,100895,7,53,680,9407,60,10087,"Normal"
23,4,"petite","second",40,648,4105,97962,688,102067,4,57,426,9751,61,10177,"Normal"
23,5,"petite","second",38,629,3968,95040,667,99008,1,62,118,9917,63,10035,"Normal"
5,1,"petite","second",378,408,37406,62619,786,100025,26,38,2874,7191,64,10065,"Normal"
5,2,"petite","second",222,515,21910,79026,737,100936,19,53,1984,8123,72,10107,"Normal"
5,3,"petite","second",134,577,13564,86193,711,99757,12,54,1443,8614,66,10057,"Normal"
5,4,"petite","second",100,601,10717,90599,701,101316,4,56,517,9552,60,10069,"Normal"
5,5,"petite","second",37,629,3823,98945,666,102768,1,60,69,10087,61,10156,"Normal"
16,1,"petite","second",354,450,35918,69571,804,105489,28,41,3252,6861,69,10113,"Normal"
16,2,"petite","second",231,512,22326,77781,743,100107,8,57,774,9262,65,10036,"Normal"
