"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
30,21,"petite","second",3814,4196,370229,629804,8392,1259608,8,405,1395,98694,810,197388,"10mill-boot"
30,22,"petite","second",3839,4192,376058,624040,8384,1248080,19,397,4189,95924,794,191848,"10mill-boot"
30,23,"petite","second",3700,4161,361955,638045,8322,1276090,13,382,2649,97425,764,194850,"10mill-boot"
30,24,"petite","second",3771,4152,371084,628942,8304,1257884,19,392,4330,96321,784,192642,"10mill-boot"
30,25,"petite","second",3754,4158,370068,630002,8316,1260004,21,376,4389,96008,752,192016,"10mill-boot"
30,26,"petite","second",3770,4186,365745,634382,8372,1268764,16,396,3266,96904,792,193808,"10mill-boot"
30,27,"petite","second",3747,4176,366925,633159,8352,1266318,14,384,2760,97559,768,195118,"10mill-boot"
30,28,"petite","second",3811,4073,377363,622704,8146,1245408,17,390,3391,96726,780,193452,"10mill-boot"
30,29,"petite","second",3739,4167,364533,635485,8334,1270970,18,380,3652,96967,760,193934,"10mill-boot"
30,30,"petite","second",3733,4170,366971,633040,8340,1266080,16,395,3037,97130,790,194260,"10mill-boot"
39,1,"petite","second",3869,4116,375049,624955,8232,1249910,15,386,2594,97577,772,195154,"10mill-boot"
39,2,"petite","second",3824,4120,369131,631051,8240,1262102,13,402,3209,97429,804,194858,"10mill-boot"
39,3,"petite","second",3869,4071,378277,621845,8142,1243690,15,399,2842,97353,798,194706,"10mill-boot"
39,4,"petite","second",3879,4084,374437,625745,8168,1251490,16,389,3577,96506,778,193012,"10mill-boot"
39,5,"petite","second",3652,4160,354002,646055,8320,1292110,10,384,2080,97962,768,195924,"10mill-boot"
39,6,"petite","second",3858,4126,369239,630951,8252,1261902,8,397,1640,98547,794,197094,"10mill-boot"
39,7,"petite","second",3820,4177,370071,629970,8354,1259940,10,412,1856,98790,824,197580,"10mill-boot"
39,8,"petite","second",3723,4159,360345,639784,8318,1279568,12,390,2260,98096,780,196192,"10mill-boot"
39,9,"petite","second",3859,4111,372175,627946,8222,1255892,11,403,2326,97815,806,195630,"10mill-boot"
39,10,"petite","second",3658,4204,354877,645194,8408,1290388,10,402,1977,98162,804,196324,"10mill-boot"
39,11,"petite","second",3828,4051,374825,625176,8102,1250352,9,392,1883,98279,784,196558,"10mill-boot"
39,12,"petite","second",3751,4111,367044,633078,8222,1266156,13,400,2699,97418,800,194836,"10mill-boot"
39,13,"petite","second",3797,4104,371450,628586,8208,1257172,12,396,2239,98063,792,196126,"10mill-boot"
39,14,"petite","second",3742,4180,364028,636052,8360,1272104,13,386,2537,97594,772,195188,"10mill-boot"
39,15,"petite","second",3827,4038,376530,623528,8076,1247056,11,393,2345,97889,786,195778,"10mill-boot"
39,16,"petite","second",3882,4140,374952,625058,8280,1250116,14,394,2871,97453,788,194906,"10mill-boot"
39,17,"petite","second",3700,4151,362396,637630,8302,1275260,10,403,2185,99240,806,198480,"10mill-boot"
39,18,"petite","second",3790,4114,366508,633538,8228,1267076,13,389,2738,97293,778,194586,"10mill-boot"
39,19,"petite","second",3763,4189,361681,638363,8378,1276726,13,398,2371,97772,796,195544,"10mill-boot"
39,20,"petite","second",3811,4120,368149,631863,8240,1263726,16,398,2890,97605,796,195210,"10mill-boot"
39,21,"petite","second",3782,4139,365732,634360,8278,1268720,14,387,2559,97544,774,195088,"10mill-boot"
39,22,"petite","second",3809,4137,369140,630973,8274,1261946,12,400,2586,97434,800,194868,"10mill-boot"
39,23,"petite","second",3763,4117,373142,626938,8234,1253876,12,401,2191,98047,802,196094,"10mill-boot"
39,24,"petite","second",3770,4107,369184,630823,8214,1261646,13,393,2609,97619,786,195238,"10mill-boot"
39,25,"petite","second",3805,4094,369554,630516,8188,1261032,19,396,3606,96511,792,193022,"10mill-boot"
39,26,"petite","second",3816,4132,370983,629104,8264,1258208,14,395,2307,97941,790,195882,"10mill-boot"
39,27,"petite","second",3836,4042,373405,626668,8084,1253336,9,391,1662,98614,782,197228,"10mill-boot"
39,28,"petite","second",3787,4104,372297,627893,8208,1255786,16,389,3362,96681,778,193362,"10mill-boot"
39,29,"petite","second",3787,4125,369832,630173,8250,1260346,13,385,2380,97776,770,195552,"10mill-boot"
39,30,"petite","second",3831,4059,376127,623935,8118,1247870,16,384,3246,96951,768,193902,"10mill-boot"
4,1,"petite","second",3853,4151,369510,630592,8302,1261184,10,387,1740,98459,774,196918,"10mill-boot"
4,2,"petite","second",3822,4095,372816,627243,8190,1254486,6,383,935,99134,766,198268,"10mill-boot"
4,3,"petite","second",3730,4227,361321,638701,8454,1277402,8,380,1486,98592,760,197184,"10mill-boot"
4,4,"petite","second",3860,4117,374323,625731,8234,1251462,6,390,1212,98995,780,197990,"10mill-boot"
4,5,"petite","second",3871,4163,373726,626386,8326,1252772,8,380,1473,98733,760,197466,"10mill-boot"
4,6,"petite","second",3705,4208,362478,637604,8416,1275208,5,381,897,99151,762,198302,"10mill-boot"
4,7,"petite","second",3801,4179,364085,635989,8358,1271978,7,389,1236,98830,778,197660,"10mill-boot"
4,8,"petite","second",3807,4164,371836,628229,8328,1256458,6,394,1119,99008,788,198016,"10mill-boot"
4,9,"petite","second",3806,4120,368501,631617,8240,1263234,4,385,856,99170,770,198340,"10mill-boot"
4,10,"petite","second",3844,4134,372487,627552,8268,1255104,6,389,1241,99230,778,198460,"10mill-boot"
4,11,"petite","second",3786,4115,370517,629535,8230,1259070,4,382,951,100099,764,200198,"10mill-boot"
4,12,"petite","second",3855,4100,378760,621400,8200,1242800,7,396,1428,98688,792,197376,"10mill-boot"
4,13,"petite","second",3750,4125,366711,633307,8250,1266614,7,374,1483,98750,748,197500,"10mill-boot"
4,14,"petite","second",3726,4236,361206,638839,8472,1277678,4,384,676,99610,768,199220,"10mill-boot"
4,15,"petite","second",3773,4257,361422,638744,8514,1277488,7,386,1352,98852,772,197704,"10mill-boot"
4,16,"petite","second",3772,4174,365645,634428,8348,1268856,10,379,2087,97943,758,195886,"10mill-boot"
4,17,"petite","second",3772,4169,368817,631316,8338,1262632,4,386,845,99210,772,198420,"10mill-boot"
4,18,"petite","second",3741,4165,358643,641450,8330,1282900,3,374,491,99651,748,199302,"10mill-boot"
4,19,"petite","second",3812,4148,370209,629824,8296,1259648,3,373,511,99970,746,199940,"10mill-boot"
4,20,"petite","second",3739,4227,361240,638783,8454,1277566,4,383,845,99218,766,198436,"10mill-boot"
4,21,"petite","second",3839,4149,370082,630115,8298,1260230,6,394,1140,99149,788,198298,"10mill-boot"
4,22,"petite","second",3752,4175,365527,634494,8350,1268988,5,387,913,99961,774,199922,"10mill-boot"
4,23,"petite","second",3757,4182,368923,631243,8364,1262486,5,392,1133,99139,784,198278,"10mill-boot"
4,24,"petite","second",3862,4086,378387,621700,8172,1243400,2,378,367,99899,756,199798,"10mill-boot"
4,25,"petite","second",3753,4173,367217,632851,8346,1265702,2,397,376,99629,794,199258,"10mill-boot"
4,26,"petite","second",3838,4128,374483,625568,8256,1251136,5,383,842,99932,766,199864,"10mill-boot"
4,27,"petite","second",3755,4145,366222,633832,8290,1267664,3,387,502,99671,774,199342,"10mill-boot"
4,28,"petite","second",3711,4197,363832,636196,8394,1272392,4,385,877,99311,770,198622,"10mill-boot"
4,29,"petite","second",3794,4159,367553,632476,8318,1264952,4,384,764,99385,768,198770,"10mill-boot"
4,30,"petite","second",3820,4134,368823,631520,8268,1263040,7,381,1473,98752,762,197504,"10mill-boot"
3,1,"petite","second",3685,4188,360055,639954,8376,1279908,13,396,2328,97738,792,195476,"10mill-boot"
3,2,"petite","second",3756,4214,364882,635198,8428,1270396,7,412,1211,99396,824,198792,"10mill-boot"
3,3,"petite","second",3596,4238,353102,647055,8476,1294110,14,380,2717,97602,760,195204,"10mill-boot"
