"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
30,16,"petite","second",36869,41510,3582158,6417873,83020,12835746,2793,4261,293224,706849,8522,1413698,"10mill-boot"
30,17,"petite","second",37312,41555,3629118,6370945,83110,12741890,2790,4321,291377,708869,8642,1417738,"10mill-boot"
30,18,"petite","second",37094,41687,3600900,6399104,83374,12798208,2822,4282,294604,705564,8564,1411128,"10mill-boot"
30,19,"petite","second",37204,41383,3622433,6377677,82766,12755354,2822,4225,298188,702341,8450,1404682,"10mill-boot"
30,20,"petite","second",36886,41551,3580117,6420013,83102,12840026,2745,4268,289792,710786,8536,1421572,"10mill-boot"
30,21,"petite","second",36942,41595,3602818,6397236,83190,12794472,2852,4192,301006,699107,8384,1398214,"10mill-boot"
30,22,"petite","second",36809,41746,3573652,6426404,83492,12852808,2696,4315,283375,716690,8630,1433380,"10mill-boot"
30,23,"petite","second",37203,41528,3617538,6382555,83056,12765110,2810,4300,295403,704937,8600,1409874,"10mill-boot"
30,24,"petite","second",36843,41710,3577753,6422345,83420,12844690,2724,4312,284017,716022,8624,1432044,"10mill-boot"
30,25,"petite","second",36838,41712,3583353,6416779,83424,12833558,2735,4302,286353,713759,8604,1427518,"10mill-boot"
30,26,"petite","second",36892,41653,3586685,6413466,83306,12826932,2830,4249,293269,706967,8498,1413934,"10mill-boot"
30,27,"petite","second",37058,41638,3610102,6390132,83276,12780264,2739,4280,291577,708648,8560,1417296,"10mill-boot"
30,28,"petite","second",37222,41544,3611966,6388068,83088,12776136,2867,4255,297156,703244,8510,1406488,"10mill-boot"
30,29,"petite","second",37125,41441,3607531,6392559,82882,12785118,2888,4194,300457,699587,8388,1399174,"10mill-boot"
