"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
45,1,"petite","second",34,48,3405,7080,82,10485,2,4,429,674,6,1103,"100k"
45,2,"petite","second",38,41,3504,5562,79,9066,4,6,491,529,10,1020,"100k"
45,3,"petite","second",44,36,4153,5633,80,9786,6,4,529,531,10,1060,"100k"
45,4,"petite","second",37,45,3506,7161,82,10667,2,6,127,1080,8,1207,"100k"
37,1,"petite","second",43,38,4216,5384,81,9600,3,4,436,579,7,1015,"100k"
37,2,"petite","second",30,50,3261,7223,80,10484,2,7,189,857,9,1046,"100k"
37,3,"petite","second",17,54,1802,7552,71,9354,2,6,197,1088,8,1285,"100k"
37,4,"petite","second",10,59,939,9172,69,10111,2,6,200,809,8,1009,"100k"
37,5,"petite","second",13,58,1260,8305,71,9565,1,6,102,1150,7,1252,"100k"
42,1,"petite","second",43,39,4102,6015,82,10117,3,4,264,1016,7,1280,"100k"
42,2,"petite","second",16,55,1762,7513,71,9275,3,6,298,813,9,1111,"100k"
22,1,"petite","second",32,47,2851,6989,79,9840,1,8,145,913,9,1058,"100k"
22,2,"petite","second",13,57,1297,8573,70,9870,1,5,73,956,6,1029,"100k"
22,3,"petite","second",7,59,589,8889,66,9478,1,8,154,922,9,1076,"100k"
22,4,"petite","second",8,64,684,9280,72,9964,2,6,181,981,8,1162,"100k"
22,5,"petite","second",10,60,1141,8942,70,10083,1,7,152,886,8,1038,"100k"
22,6,"petite","second",12,57,1046,8499,69,9545,2,6,183,966,8,1149,"100k"
22,7,"petite","second",11,58,1432,8564,69,9996,1,7,106,1098,8,1204,"100k"
22,8,"petite","second",7,63,585,9936,70,10521,1,6,63,950,7,1013,"100k"
22,9,"petite","second",3,66,332,9923,69,10255,1,7,110,1063,8,1173,"100k"
18,1,"petite","second",42,41,3943,5720,83,9663,2,6,219,799,8,1018,"100k"
18,2,"petite","second",19,54,1890,7364,73,9254,2,5,269,856,7,1125,"100k"
18,3,"petite","second",20,54,1753,8168,74,9921,3,7,245,829,10,1074,"100k"
18,4,"petite","second",20,54,1820,8167,74,9987,2,7,129,1003,9,1132,"100k"
41,1,"petite","second",35,44,3308,6508,79,9816,6,3,611,483,9,1094,"100k"
41,2,"petite","second",48,35,4783,4930,83,9713,8,2,743,371,10,1114,"100k"
41,3,"petite","second",63,24,5728,3933,87,9661,7,2,750,362,9,1112,"100k"
41,4,"petite","second",60,26,5959,3743,86,9702,6,5,539,574,11,1113,"100k"
41,5,"petite","second",32,48,3048,7765,80,10813,2,5,157,954,7,1111,"100k"
40,1,"petite","second",46,36,4197,5761,82,9958,4,5,191,1010,9,1201,"100k"
40,2,"petite","second",8,64,791,9505,72,10296,1,5,89,987,6,1076,"100k"
40,3,"petite","second",6,63,758,9408,69,10166,3,4,453,663,7,1116,"100k"
40,4,"petite","second",30,46,2937,6627,76,9564,5,2,698,402,7,1100,"100k"
40,5,"petite","second",56,30,5513,4334,86,9847,2,4,315,722,6,1037,"100k"
40,6,"petite","second",29,46,2827,6265,75,9092,3,5,368,812,8,1180,"100k"
40,7,"petite","second",17,57,1780,8242,74,10022,1,7,55,1050,8,1105,"100k"
40,8,"petite","second",6,62,516,8719,68,9235,1,8,120,932,9,1052,"100k"
40,9,"petite","second",9,58,802,9663,67,10465,1,5,72,1003,6,1075,"100k"
40,10,"petite","second",7,63,670,9248,70,9918,1,6,110,950,7,1060,"100k"
6,1,"petite","second",44,37,3802,5119,81,8921,5,5,429,615,10,1044,"100k"
6,2,"petite","second",31,45,2821,7254,76,10075,3,4,315,870,7,1185,"100k"
6,3,"petite","second",24,50,1812,7744,74,9556,2,7,99,1073,9,1172,"100k"
46,1,"petite","second",36,44,3397,6931,80,10328,3,4,486,622,7,1108,"100k"
46,2,"petite","second",39,38,4105,4733,77,8838,6,3,756,322,9,1078,"100k"
46,3,"petite","second",76,13,7021,1870,89,8891,9,2,805,255,11,1060,"100k"
46,4,"petite","second",70,20,6428,3481,90,9909,6,3,555,724,9,1279,"100k"
43,1,"petite","second",34,47,3530,7157,81,10687,3,5,348,730,8,1078,"100k"
