"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
46,2,960,"petite","second-15min",1,45,224,9859,46,10083,230,6564,23022,993464,6794,1016486,"Equal Growth Rates"
48,1,950,"petite","second-15min",53,30,5017,5183,83,10200,5137,3306,505881,500741,8443,1006622,"Equal Growth Rates"
48,2,960,"petite","second-15min",7,39,1585,8459,46,10044,1699,5623,168398,855672,7322,1024070,"Equal Growth Rates"
33,1,950,"petite","second-15min",49,29,5063,5120,78,10183,5158,3249,510266,490938,8407,1001204,"Equal Growth Rates"
33,2,955,"petite","second-15min",5,40,1005,9102,45,10107,1055,5896,105071,896729,6951,1001800,"Equal Growth Rates"
9,1,955,"petite","second-15min",51,32,5068,5021,83,10089,5353,3293,525693,493826,8646,1019519,"Equal Growth Rates"
9,2,955,"petite","second-15min",2,42,306,9910,44,10216,320,6370,31729,972009,6690,1003738,"Equal Growth Rates"
9,3,960,"petite","second-15min",1,43,158,9909,44,10067,162,6660,16369,1004375,6822,1020744,"Equal Growth Rates"
34,1,950,"petite","second-15min",48,32,5042,5146,80,10188,5229,3293,510194,493963,8522,1004157,"Equal Growth Rates"
34,2,955,"petite","second-15min",2,38,388,9760,40,10148,405,6280,40075,959927,6685,1000002,"Equal Growth Rates"
7,1,955,"petite","second-15min",50,32,5099,5093,82,10192,5267,3287,523768,500506,8554,1024274,"Equal Growth Rates"
7,2,955,"petite","second-15min",5,42,818,9316,47,10134,872,6057,84809,918955,6929,1003764,"Equal Growth Rates"
6,1,955,"petite","second-15min",45,31,5068,5057,76,10125,5303,3285,519851,499187,8588,1019038,"Equal Growth Rates"
6,2,960,"petite","second-15min",2,44,395,9680,46,10075,418,6498,41421,979203,6916,1020624,"Equal Growth Rates"
1,1,955,"petite","second-15min",53,35,5008,5071,88,10079,5240,3342,520034,502859,8582,1022893,"Equal Growth Rates"
1,2,960,"petite","second-15min",2,44,423,9667,46,10090,452,6427,44864,978756,6879,1023620,"Equal Growth Rates"
8,1,955,"petite","second-15min",52,34,5012,5031,86,10043,5288,3277,519285,495412,8565,1014697,"Equal Growth Rates"
8,2,960,"petite","second-15min",5,37,956,9139,42,10095,1003,6057,100610,924170,7060,1024780,"Equal Growth Rates"
8,3,955,"petite","second-15min",1,40,161,10009,41,10170,168,6537,16748,986241,6705,1002989,"Equal Growth Rates"
35,1,955,"petite","second-15min",53,30,5004,5110,83,10114,5217,3365,515642,507881,8582,1023523,"Equal Growth Rates"
