file_num,sim_number,cluster_size,overlap_vol,not_added_nodes
1,1,5,3.457431e-02,0
1,1,10,1.141629e-01,0
1,1,15,1.206870e-01,0
1,1,20,5.216574e-01,0
1,1,25,5.318819e-01,0
1,1,30,5.347422e-01,0
1,1,35,1.474078e+00,1
1,1,40,1.474078e+00,1
1,1,45,1.858964e+00,1
1,1,50,2.080060e+00,1
1,1,55,2.864741e+00,1
1,1,60,3.923867e+00,1
1,1,65,3.923867e+00,1
1,1,70,4.317094e+00,1
1,1,75,4.345275e+00,1
1,1,80,4.635698e+00,1
1,1,85,4.660518e+00,2
1,1,90,4.791680e+00,2
1,1,95,5.911833e+00,2
1,1,100,5.951902e+00,2
1,1,105,7.023568e+00,2
1,1,110,8.860112e+00,2
1,1,115,9.536737e+00,2
1,1,120,1.001226e+01,2
1,1,125,1.041193e+01,2
1,1,130,1.231952e+01,2
1,1,135,1.317069e+01,3
1,1,140,1.427538e+01,3
1,1,145,1.626612e+01,3
1,1,150,1.676804e+01,3
1,1,155,1.676994e+01,3
1,1,160,1.704554e+01,3
1,1,165,1.715641e+01,3
1,1,170,1.800236e+01,3
1,1,175,1.814720e+01,3
1,1,180,1.936043e+01,3
1,1,185,1.954343e+01,3
1,1,190,2.087875e+01,3
1,1,195,2.093877e+01,3
1,1,200,2.217332e+01,3
1,1,205,2.339265e+01,3
1,1,210,2.450066e+01,3
1,1,215,2.639080e+01,3
1,1,220,2.797056e+01,3
1,1,225,2.875977e+01,3
1,1,230,2.962416e+01,3
1,1,235,3.004205e+01,3
1,1,240,3.238307e+01,3
1,1,245,3.309241e+01,3
1,1,250,3.412958e+01,3
1,1,255,3.448921e+01,3
1,1,260,3.640880e+01,3
1,1,265,3.831179e+01,3
1,1,270,4.115794e+01,3
1,1,275,4.141600e+01,3
1,1,280,4.205232e+01,3
1,1,285,4.253614e+01,3
1,1,290,4.377029e+01,3
1,1,295,4.438817e+01,3
1,1,300,4.497134e+01,3
1,1,305,4.683613e+01,3
1,1,310,4.875354e+01,3
1,1,315,4.996758e+01,3
1,1,320,5.213655e+01,3
1,1,325,5.417912e+01,3
1,1,330,5.504551e+01,3
1,1,335,5.694066e+01,3
1,1,340,5.869545e+01,3
1,1,345,5.966289e+01,4
1,1,350,6.194942e+01,4
1,1,355,6.260902e+01,4
1,1,360,6.454573e+01,4
1,1,365,6.621383e+01,4
1,1,370,6.752196e+01,4
1,1,375,7.035904e+01,4
1,1,380,7.217138e+01,4
1,1,385,7.416892e+01,4
1,1,390,7.462583e+01,4
1,1,395,7.675835e+01,4
1,1,400,7.823576e+01,4
1,1,405,7.959627e+01,4
1,1,410,8.058849e+01,4
1,1,415,8.181004e+01,4
1,1,420,8.466879e+01,4
1,1,425,8.777350e+01,4
1,1,430,9.002018e+01,4
1,1,435,9.090852e+01,4
1,1,440,9.096586e+01,4
1,1,445,9.332546e+01,4
1,1,450,9.561717e+01,4
1,1,455,9.941108e+01,5
1,1,460,1.011822e+02,5
1,1,465,1.035258e+02,5
1,1,470,1.037938e+02,5
1,1,475,1.064993e+02,5
1,1,480,1.113460e+02,5
1,1,485,1.130886e+02,5
1,1,490,1.142723e+02,5
1,1,495,1.149355e+02,5
1,1,500,1.162858e+02,5
1,2,5,1.126480e-01,0
1,2,10,1.126480e-01,0
1,2,15,1.239635e-01,0
1,2,20,4.419124e-01,0
1,2,25,1.577400e+00,0
1,2,30,1.865957e+00,0
1,2,35,1.897061e+00,0
1,2,40,3.288790e+00,0
1,2,45,3.709399e+00,0
1,2,50,3.722882e+00,1
1,2,55,3.839365e+00,1
1,2,60,3.841352e+00,1
1,2,65,4.353609e+00,1
1,2,70,4.624968e+00,1
1,2,75,4.715659e+00,1
1,2,80,5.632962e+00,1
1,2,85,5.906911e+00,2
1,2,90,6.727189e+00,2
1,2,95,8.374104e+00,2
1,2,100,8.687078e+00,2
1,2,105,9.142870e+00,2
1,2,110,9.932242e+00,2
1,2,115,9.939022e+00,2
1,2,120,1.080262e+01,2
1,2,125,1.097137e+01,2
1,2,130,1.128199e+01,2
1,2,135,1.322821e+01,2
1,2,140,1.506955e+01,2
1,2,145,1.547436e+01,2
1,2,150,1.698884e+01,2
1,2,155,1.742544e+01,2
1,2,160,2.253933e+01,2
1,2,165,2.350378e+01,2
1,2,170,2.465465e+01,2
1,2,175,2.551939e+01,2
1,2,180,2.750129e+01,2
1,2,185,2.780325e+01,2
1,2,190,2.879764e+01,2
1,2,195,3.027031e+01,2
1,2,200,3.192527e+01,2
1,2,205,3.281512e+01,2
