file_num,sim_number,cluster_size,overlap_vol,not_added_nodes
1,1,5,5.486900e-03,0
1,1,10,2.392908e-01,0
1,1,15,4.048500e-01,0
1,1,20,5.691034e-01,0
1,1,25,7.369762e-01,0
1,1,30,9.925600e-01,0
1,1,35,1.041058e+00,0
1,1,40,1.322118e+00,0
1,1,45,1.394746e+00,0
1,1,50,1.488101e+00,0
1,1,55,1.488439e+00,0
1,1,60,1.899811e+00,0
1,1,65,4.218142e+00,0
1,1,70,4.819383e+00,0
1,1,75,6.389616e+00,0
1,1,80,6.828521e+00,0
1,1,85,6.942970e+00,0
1,1,90,6.946492e+00,0
1,1,95,7.132758e+00,0
1,1,100,7.203723e+00,0
1,1,105,7.696079e+00,1
1,1,110,7.908685e+00,1
1,1,115,8.824761e+00,1
1,1,120,9.939796e+00,1
1,1,125,1.206493e+01,1
1,1,130,1.278587e+01,2
1,1,135,1.474613e+01,2
1,1,140,1.585604e+01,2
1,1,145,1.839375e+01,2
1,1,150,2.182368e+01,2
1,1,155,2.337127e+01,2
1,1,160,2.467684e+01,2
1,1,165,2.535398e+01,2
1,1,170,2.685665e+01,2
1,1,175,2.732617e+01,2
1,1,180,2.766724e+01,3
1,1,185,2.873906e+01,3
1,1,190,2.948640e+01,4
1,1,195,3.006617e+01,4
1,1,200,3.097129e+01,4
1,1,205,3.223153e+01,4
1,1,210,3.363166e+01,4
1,1,215,3.513290e+01,4
1,1,220,3.544517e+01,4
1,1,225,3.717164e+01,4
1,1,230,3.794601e+01,4
1,1,235,4.126090e+01,4
1,1,240,4.249775e+01,4
1,1,245,4.531696e+01,4
1,1,250,4.633133e+01,4
1,1,255,4.797738e+01,4
1,1,260,4.971452e+01,4
1,1,265,5.100735e+01,4
1,1,270,5.270544e+01,4
1,1,275,5.389137e+01,4
1,1,280,5.550069e+01,4
1,1,285,5.572071e+01,4
1,1,290,5.762184e+01,4
1,1,295,5.952394e+01,4
1,1,300,5.978314e+01,4
1,1,305,6.143006e+01,4
1,1,310,6.388254e+01,4
1,1,315,6.464362e+01,4
1,1,320,6.554250e+01,4
1,1,325,6.614961e+01,4
1,1,330,6.810666e+01,4
1,1,335,7.120928e+01,4
1,1,340,7.258195e+01,4
1,1,345,7.481838e+01,4
1,1,350,7.684042e+01,4
1,1,355,7.909067e+01,4
1,1,360,8.142931e+01,4
1,1,365,8.191426e+01,4
1,1,370,8.421559e+01,4
1,1,375,8.477574e+01,4
1,1,380,8.685201e+01,4
1,1,385,8.831790e+01,4
1,1,390,8.915858e+01,4
1,1,395,9.259870e+01,4
1,1,400,9.382101e+01,4
1,1,405,9.719891e+01,4
1,1,410,9.791511e+01,4
1,1,415,9.864506e+01,4
1,1,420,1.006749e+02,4
1,1,425,1.024761e+02,4
1,1,430,1.061604e+02,4
1,1,435,1.076076e+02,4
1,1,440,1.095401e+02,4
1,1,445,1.125135e+02,4
1,1,450,1.150659e+02,4
1,1,455,1.159838e+02,4
1,1,460,1.185568e+02,5
1,1,465,1.195475e+02,5
1,1,470,1.207826e+02,5
1,1,475,1.242429e+02,5
1,1,480,1.282129e+02,5
1,1,485,1.320236e+02,5
1,1,490,1.350639e+02,5
1,1,495,1.374103e+02,6
1,1,500,1.392783e+02,6
1,2,5,0,0
1,2,10,5.863752e-04,0
1,2,15,1.960359e-01,0
1,2,20,6.698818e-01,0
1,2,25,1.139349e+00,0
1,2,30,1.147237e+00,0
1,2,35,1.915081e+00,0
1,2,40,2.072122e+00,0
1,2,45,2.667886e+00,0
1,2,50,2.831248e+00,0
1,2,55,3.050700e+00,0
1,2,60,3.112551e+00,0
1,2,65,3.547615e+00,0
1,2,70,4.897596e+00,0
1,2,75,6.629412e+00,0
1,2,80,7.249629e+00,0
1,2,85,7.368623e+00,0
1,2,90,8.637325e+00,0
1,2,95,9.263307e+00,0
1,2,100,1.230882e+01,0
1,2,105,1.257022e+01,0
1,2,110,1.325589e+01,0
1,2,115,1.373756e+01,0
1,2,120,1.425619e+01,0
1,2,125,1.566994e+01,0
1,2,130,1.609701e+01,0
1,2,135,1.623138e+01,0
1,2,140,1.679888e+01,0
1,2,145,1.741688e+01,0
1,2,150,1.842676e+01,0
1,2,155,1.890607e+01,0
1,2,160,2.032362e+01,0
1,2,165,2.095627e+01,0
1,2,170,2.122913e+01,0
1,2,175,2.133247e+01,0
1,2,180,2.268351e+01,0
1,2,185,2.327763e+01,0
1,2,190,2.441173e+01,0
1,2,195,2.811196e+01,0
1,2,200,3.005057e+01,0
1,2,205,3.075733e+01,0
1,2,210,3.342859e+01,0
1,2,215,3.493589e+01,0
1,2,220,3.546067e+01,0
1,2,225,3.574480e+01,0
1,2,230,3.617541e+01,0
1,2,235,3.649762e+01,0
1,2,240,3.809091e+01,0
1,2,245,3.982840e+01,0
1,2,250,4.119378e+01,0
1,2,255,4.321355e+01,0
1,2,260,4.346546e+01,0
1,2,265,4.346568e+01,0
1,2,270,4.708333e+01,0
1,2,275,4.857851e+01,0
1,2,280,5.019922e+01,0
1,2,285,5.154792e+01,0
1,2,290,5.355310e+01,0
