"sim_number","number_divisions","minutes","experiment","experiment_name"
1,1,144.9846,"slow_first_div","Slow First Division"
1,2,95.1724,"slow_first_div","Slow First Division"
1,1,115.7035,"slow_first_div","Slow First Division"
1,2,95.8021,"slow_first_div","Slow First Division"
1,1,112.6182,"slow_first_div","Slow First Division"
1,2,96.3966,"slow_first_div","Slow First Division"
1,1,105.7412,"slow_first_div","Slow First Division"
1,2,86.0936,"slow_first_div","Slow First Division"
1,1,113.1739,"slow_first_div","Slow First Division"
1,3,91.3133,"slow_first_div","Slow First Division"
1,1,112.7488,"slow_first_div","Slow First Division"
1,4,94.1922,"slow_first_div","Slow First Division"
1,1,141.8563,"slow_first_div","Slow First Division"
1,2,87.6269,"slow_first_div","Slow First Division"
1,1,117.9135,"slow_first_div","Slow First Division"
1,3,77.572,"slow_first_div","Slow First Division"
1,1,124.5107,"slow_first_div","Slow First Division"
1,7,89.0212,"slow_first_div","Slow First Division"
1,1,105.2847,"slow_first_div","Slow First Division"
1,2,90.7879,"slow_first_div","Slow First Division"
1,1,123.6773,"slow_first_div","Slow First Division"
1,5,82.9455,"slow_first_div","Slow First Division"
1,1,136.3838,"slow_first_div","Slow First Division"
1,5,98.6614,"slow_first_div","Slow First Division"
1,1,115.6282,"slow_first_div","Slow First Division"
1,2,94.1871,"slow_first_div","Slow First Division"
1,1,118.0857,"slow_first_div","Slow First Division"
1,2,99.7147,"slow_first_div","Slow First Division"
1,1,133.4494,"slow_first_div","Slow First Division"
1,4,88.7714,"slow_first_div","Slow First Division"
1,1,127.2274,"slow_first_div","Slow First Division"
1,3,104.9186,"slow_first_div","Slow First Division"
1,1,112.8347,"slow_first_div","Slow First Division"
1,5,98.5405,"slow_first_div","Slow First Division"
1,1,113.9305,"slow_first_div","Slow First Division"
1,9,96.8829,"slow_first_div","Slow First Division"
1,1,125.6756,"slow_first_div","Slow First Division"
1,3,107.0096,"slow_first_div","Slow First Division"
1,1,127.9864,"slow_first_div","Slow First Division"
1,2,84.5935,"slow_first_div","Slow First Division"
1,1,117.722,"slow_first_div","Slow First Division"
1,5,88.174,"slow_first_div","Slow First Division"
1,1,120.1363,"slow_first_div","Slow First Division"
1,2,94.9156,"slow_first_div","Slow First Division"
1,1,120.7272,"slow_first_div","Slow First Division"
1,2,91.3875,"slow_first_div","Slow First Division"
1,1,119.8295,"slow_first_div","Slow First Division"
1,2,85.7094,"slow_first_div","Slow First Division"
1,1,137.7437,"slow_first_div","Slow First Division"
1,2,85.2216,"slow_first_div","Slow First Division"
1,1,111.1167,"slow_first_div","Slow First Division"
1,3,85.6535,"slow_first_div","Slow First Division"
1,1,137.4242,"slow_first_div","Slow First Division"
1,4,84.1538,"slow_first_div","Slow First Division"
1,1,149.5397,"slow_first_div","Slow First Division"
1,6,95.0691,"slow_first_div","Slow First Division"
1,1,119.1681,"slow_first_div","Slow First Division"
1,2,95.7377,"slow_first_div","Slow First Division"
1,1,109.4223,"slow_first_div","Slow First Division"
1,3,92.6405,"slow_first_div","Slow First Division"
1,1,119.4612,"slow_first_div","Slow First Division"
1,4,94.0888,"slow_first_div","Slow First Division"
1,1,116.645,"slow_first_div","Slow First Division"
1,4,75.872,"slow_first_div","Slow First Division"
1,1,129.6695,"slow_first_div","Slow First Division"
1,2,91.4738,"slow_first_div","Slow First Division"
1,1,112.0921,"slow_first_div","Slow First Division"
1,5,81.6989,"slow_first_div","Slow First Division"
1,1,122.2834,"slow_first_div","Slow First Division"
1,2,86.9956,"slow_first_div","Slow First Division"
1,1,112.6807,"slow_first_div","Slow First Division"
1,2,78.5016,"slow_first_div","Slow First Division"
1,1,126.2146,"slow_first_div","Slow First Division"
1,2,94.1311,"slow_first_div","Slow First Division"
1,1,125.2564,"slow_first_div","Slow First Division"
1,3,81.2172,"slow_first_div","Slow First Division"
1,1,121.5812,"slow_first_div","Slow First Division"
1,3,87.1347,"slow_first_div","Slow First Division"
1,1,122.8542,"slow_first_div","Slow First Division"
1,4,89.5563,"slow_first_div","Slow First Division"
1,1,130.9143,"slow_first_div","Slow First Division"
1,4,80.829,"slow_first_div","Slow First Division"
1,1,115.766,"slow_first_div","Slow First Division"
1,3,87.9176,"slow_first_div","Slow First Division"
1,1,125.401,"slow_first_div","Slow First Division"
1,3,93.072,"slow_first_div","Slow First Division"
1,1,117.313,"slow_first_div","Slow First Division"
1,2,104.5166,"slow_first_div","Slow First Division"
1,1,131.8419,"slow_first_div","Slow First Division"
1,2,90.9783,"slow_first_div","Slow First Division"
1,1,111.0737,"slow_first_div","Slow First Division"
1,2,72.7867,"slow_first_div","Slow First Division"
1,1,118.1651,"slow_first_div","Slow First Division"
1,4,93.8953,"slow_first_div","Slow First Division"
1,1,102.5692,"slow_first_div","Slow First Division"
1,3,79.9097,"slow_first_div","Slow First Division"
1,1,131.6212,"slow_first_div","Slow First Division"
1,2,99.1736,"slow_first_div","Slow First Division"
