"sim_number","generation","diameter","experiment","experiment_name"
5,11,11,"slow_first_div","Slow First Division"
5,12,11,"slow_first_div","Slow First Division"
5,13,11,"slow_first_div","Slow First Division"
5,14,11,"slow_first_div","Slow First Division"
5,15,11,"slow_first_div","Slow First Division"
5,16,11,"slow_first_div","Slow First Division"
5,17,11,"slow_first_div","Slow First Division"
5,18,11,"slow_first_div","Slow First Division"
5,19,11,"slow_first_div","Slow First Division"
5,20,11,"slow_first_div","Slow First Division"
5,21,11,"slow_first_div","Slow First Division"
5,22,12,"slow_first_div","Slow First Division"
5,23,12,"slow_first_div","Slow First Division"
5,24,11,"slow_first_div","Slow First Division"
5,25,11,"slow_first_div","Slow First Division"
5,26,12,"slow_first_div","Slow First Division"
5,27,11,"slow_first_div","Slow First Division"
5,28,12,"slow_first_div","Slow First Division"
5,29,11,"slow_first_div","Slow First Division"
5,30,11,"slow_first_div","Slow First Division"
5,31,11,"slow_first_div","Slow First Division"
5,32,11,"slow_first_div","Slow First Division"
5,33,12,"slow_first_div","Slow First Division"
5,34,12,"slow_first_div","Slow First Division"
5,35,11,"slow_first_div","Slow First Division"
5,36,13,"slow_first_div","Slow First Division"
5,37,11,"slow_first_div","Slow First Division"
5,38,11,"slow_first_div","Slow First Division"
5,39,12,"slow_first_div","Slow First Division"
5,40,11,"slow_first_div","Slow First Division"
5,41,11,"slow_first_div","Slow First Division"
5,42,12,"slow_first_div","Slow First Division"
5,43,11,"slow_first_div","Slow First Division"
5,44,11,"slow_first_div","Slow First Division"
5,45,11,"slow_first_div","Slow First Division"
5,46,12,"slow_first_div","Slow First Division"
5,47,11,"slow_first_div","Slow First Division"
5,48,11,"slow_first_div","Slow First Division"
5,49,11,"slow_first_div","Slow First Division"
5,50,11,"slow_first_div","Slow First Division"
5,51,11,"slow_first_div","Slow First Division"
5,52,11,"slow_first_div","Slow First Division"
5,53,11,"slow_first_div","Slow First Division"
5,54,11,"slow_first_div","Slow First Division"
5,55,11,"slow_first_div","Slow First Division"
5,56,11,"slow_first_div","Slow First Division"
5,57,11,"slow_first_div","Slow First Division"
5,58,12,"slow_first_div","Slow First Division"
5,59,11,"slow_first_div","Slow First Division"
5,60,11,"slow_first_div","Slow First Division"
5,61,11,"slow_first_div","Slow First Division"
5,62,11,"slow_first_div","Slow First Division"
5,63,11,"slow_first_div","Slow First Division"
5,64,11,"slow_first_div","Slow First Division"
5,65,11,"slow_first_div","Slow First Division"
5,66,11,"slow_first_div","Slow First Division"
5,67,11,"slow_first_div","Slow First Division"
5,68,12,"slow_first_div","Slow First Division"
5,69,11,"slow_first_div","Slow First Division"
5,70,11,"slow_first_div","Slow First Division"
5,71,11,"slow_first_div","Slow First Division"
5,72,12,"slow_first_div","Slow First Division"
5,73,12,"slow_first_div","Slow First Division"
5,74,11,"slow_first_div","Slow First Division"
5,75,11,"slow_first_div","Slow First Division"
5,76,12,"slow_first_div","Slow First Division"
5,77,11,"slow_first_div","Slow First Division"
5,78,11,"slow_first_div","Slow First Division"
5,79,11,"slow_first_div","Slow First Division"
5,80,11,"slow_first_div","Slow First Division"
5,81,11,"slow_first_div","Slow First Division"
5,82,12,"slow_first_div","Slow First Division"
5,83,11,"slow_first_div","Slow First Division"
5,84,11,"slow_first_div","Slow First Division"
5,85,11,"slow_first_div","Slow First Division"
5,86,11,"slow_first_div","Slow First Division"
5,87,11,"slow_first_div","Slow First Division"
5,88,11,"slow_first_div","Slow First Division"
5,89,11,"slow_first_div","Slow First Division"
5,90,11,"slow_first_div","Slow First Division"
5,91,11,"slow_first_div","Slow First Division"
5,92,11,"slow_first_div","Slow First Division"
5,93,11,"slow_first_div","Slow First Division"
5,94,11,"slow_first_div","Slow First Division"
5,95,11,"slow_first_div","Slow First Division"
5,96,11,"slow_first_div","Slow First Division"
5,97,11,"slow_first_div","Slow First Division"
5,98,11,"slow_first_div","Slow First Division"
5,99,11,"slow_first_div","Slow First Division"
5,100,11,"slow_first_div","Slow First Division"
5,101,11,"slow_first_div","Slow First Division"
6,0,12,"slow_first_div","Slow First Division"
6,1,11,"slow_first_div","Slow First Division"
6,2,12,"slow_first_div","Slow First Division"
6,3,11,"slow_first_div","Slow First Division"
6,4,11,"slow_first_div","Slow First Division"
6,5,12,"slow_first_div","Slow First Division"
6,6,11,"slow_first_div","Slow First Division"
6,7,11,"slow_first_div","Slow First Division"
6,8,11,"slow_first_div","Slow First Division"
6,9,11,"slow_first_div","Slow First Division"
6,10,11,"slow_first_div","Slow First Division"
6,11,11,"slow_first_div","Slow First Division"
6,12,11,"slow_first_div","Slow First Division"
6,13,11,"slow_first_div","Slow First Division"
6,14,11,"slow_first_div","Slow First Division"
6,15,11,"slow_first_div","Slow First Division"
6,16,11,"slow_first_div","Slow First Division"
6,17,11,"slow_first_div","Slow First Division"
6,18,11,"slow_first_div","Slow First Division"
6,19,11,"slow_first_div","Slow First Division"
6,20,11,"slow_first_div","Slow First Division"
6,21,11,"slow_first_div","Slow First Division"
6,22,11,"slow_first_div","Slow First Division"
6,23,11,"slow_first_div","Slow First Division"
6,24,11,"slow_first_div","Slow First Division"
6,25,12,"slow_first_div","Slow First Division"
6,26,13,"slow_first_div","Slow First Division"
6,27,12,"slow_first_div","Slow First Division"
6,28,11,"slow_first_div","Slow First Division"
6,29,11,"slow_first_div","Slow First Division"
6,30,12,"slow_first_div","Slow First Division"
6,31,11,"slow_first_div","Slow First Division"
6,32,11,"slow_first_div","Slow First Division"
6,33,11,"slow_first_div","Slow First Division"
6,34,11,"slow_first_div","Slow First Division"
6,35,12,"slow_first_div","Slow First Division"
6,36,12,"slow_first_div","Slow First Division"
6,37,11,"slow_first_div","Slow First Division"
6,38,11,"slow_first_div","Slow First Division"
6,39,11,"slow_first_div","Slow First Division"
6,40,12,"slow_first_div","Slow First Division"
6,41,11,"slow_first_div","Slow First Division"
6,42,12,"slow_first_div","Slow First Division"
6,43,11,"slow_first_div","Slow First Division"
6,44,11,"slow_first_div","Slow First Division"
6,45,11,"slow_first_div","Slow First Division"
6,46,11,"slow_first_div","Slow First Division"
6,47,11,"slow_first_div","Slow First Division"
6,48,11,"slow_first_div","Slow First Division"
6,49,11,"slow_first_div","Slow First Division"
6,50,11,"slow_first_div","Slow First Division"
6,51,11,"slow_first_div","Slow First Division"
6,52,11,"slow_first_div","Slow First Division"
6,53,11,"slow_first_div","Slow First Division"
6,54,11,"slow_first_div","Slow First Division"
6,55,11,"slow_first_div","Slow First Division"
6,56,11,"slow_first_div","Slow First Division"
6,57,11,"slow_first_div","Slow First Division"
6,58,12,"slow_first_div","Slow First Division"
6,59,11,"slow_first_div","Slow First Division"
6,60,11,"slow_first_div","Slow First Division"
6,61,11,"slow_first_div","Slow First Division"
6,62,11,"slow_first_div","Slow First Division"
6,63,12,"slow_first_div","Slow First Division"
6,64,11,"slow_first_div","Slow First Division"
6,65,11,"slow_first_div","Slow First Division"
6,66,12,"slow_first_div","Slow First Division"
6,67,11,"slow_first_div","Slow First Division"
6,68,11,"slow_first_div","Slow First Division"
6,69,11,"slow_first_div","Slow First Division"
6,70,12,"slow_first_div","Slow First Division"
6,71,11,"slow_first_div","Slow First Division"
6,72,11,"slow_first_div","Slow First Division"
6,73,11,"slow_first_div","Slow First Division"
6,74,11,"slow_first_div","Slow First Division"
6,75,11,"slow_first_div","Slow First Division"
6,76,12,"slow_first_div","Slow First Division"
6,77,12,"slow_first_div","Slow First Division"
6,78,11,"slow_first_div","Slow First Division"
6,79,11,"slow_first_div","Slow First Division"
6,80,11,"slow_first_div","Slow First Division"
6,81,11,"slow_first_div","Slow First Division"
6,82,11,"slow_first_div","Slow First Division"
6,83,12,"slow_first_div","Slow First Division"
6,84,11,"slow_first_div","Slow First Division"
6,85,11,"slow_first_div","Slow First Division"
6,86,11,"slow_first_div","Slow First Division"
6,87,11,"slow_first_div","Slow First Division"
6,88,11,"slow_first_div","Slow First Division"
6,89,11,"slow_first_div","Slow First Division"
6,90,11,"slow_first_div","Slow First Division"
6,91,11,"slow_first_div","Slow First Division"
6,92,11,"slow_first_div","Slow First Division"
6,93,11,"slow_first_div","Slow First Division"
6,94,11,"slow_first_div","Slow First Division"
6,95,12,"slow_first_div","Slow First Division"
6,96,11,"slow_first_div","Slow First Division"
6,97,12,"slow_first_div","Slow First Division"
6,98,11,"slow_first_div","Slow First Division"
6,99,11,"slow_first_div","Slow First Division"
6,100,11,"slow_first_div","Slow First Division"
6,101,10,"slow_first_div","Slow First Division"
7,0,11,"slow_first_div","Slow First Division"
7,1,12,"slow_first_div","Slow First Division"
7,2,11,"slow_first_div","Slow First Division"
7,3,11,"slow_first_div","Slow First Division"
7,4,12,"slow_first_div","Slow First Division"
7,5,11,"slow_first_div","Slow First Division"
7,6,11,"slow_first_div","Slow First Division"
7,7,11,"slow_first_div","Slow First Division"
7,8,11,"slow_first_div","Slow First Division"
7,9,12,"slow_first_div","Slow First Division"
7,10,11,"slow_first_div","Slow First Division"
7,11,11,"slow_first_div","Slow First Division"
7,12,12,"slow_first_div","Slow First Division"
7,13,11,"slow_first_div","Slow First Division"
7,14,11,"slow_first_div","Slow First Division"
7,15,11,"slow_first_div","Slow First Division"
