"sim_number","generation","diameter","variation","diff_mean"
5,2,12,10,20
5,3,11,10,20
5,4,11,10,20
5,5,12,10,20
5,6,11,10,20
5,7,12,10,20
5,8,10,10,20
5,9,11,10,20
5,10,12,10,20
5,11,11,10,20
5,12,12,10,20
5,13,12,10,20
5,14,12,10,20
5,15,11,10,20
5,16,10,10,20
5,17,11,10,20
5,18,11,10,20
5,19,12,10,20
5,20,11,10,20
5,21,12,10,20
5,22,11,10,20
5,23,12,10,20
5,24,11,10,20
5,25,11,10,20
5,26,12,10,20
5,27,10,10,20
5,28,11,10,20
5,29,11,10,20
5,30,9,10,20
5,31,10,10,20
5,32,11,10,20
5,33,9,10,20
5,34,12,10,20
5,35,11,10,20
5,36,11,10,20
5,37,11,10,20
5,38,11,10,20
5,39,12,10,20
5,40,11,10,20
5,41,12,10,20
5,42,11,10,20
5,43,11,10,20
5,44,11,10,20
5,45,12,10,20
5,46,11,10,20
5,47,11,10,20
5,48,11,10,20
5,49,11,10,20
5,50,11,10,20
5,51,11,10,20
6,0,11,10,20
6,1,12,10,20
6,2,11,10,20
6,3,13,10,20
6,4,11,10,20
6,5,11,10,20
6,6,10,10,20
6,7,11,10,20
6,8,11,10,20
6,9,12,10,20
6,10,12,10,20
6,11,13,10,20
6,12,12,10,20
6,13,10,10,20
6,14,10,10,20
6,15,12,10,20
6,16,12,10,20
6,17,12,10,20
6,18,11,10,20
6,19,10,10,20
6,20,11,10,20
6,21,12,10,20
6,22,13,10,20
6,23,13,10,20
6,24,13,10,20
6,25,11,10,20
6,26,12,10,20
6,27,13,10,20
6,28,11,10,20
6,29,10,10,20
6,30,11,10,20
6,31,13,10,20
6,32,11,10,20
6,33,12,10,20
6,34,12,10,20
6,35,11,10,20
6,36,11,10,20
6,37,11,10,20
6,38,12,10,20
6,39,12,10,20
6,40,11,10,20
6,41,11,10,20
6,42,11,10,20
6,43,11,10,20
6,44,11,10,20
6,45,13,10,20
6,46,11,10,20
6,47,11,10,20
6,48,11,10,20
6,49,10,10,20
6,50,11,10,20
6,51,11,10,20
7,0,12,10,20
7,1,12,10,20
7,2,12,10,20
7,3,11,10,20
7,4,12,10,20
7,5,11,10,20
7,6,12,10,20
7,7,12,10,20
7,8,11,10,20
7,9,11,10,20
7,10,11,10,20
7,11,13,10,20
7,12,10,10,20
7,13,10,10,20
7,14,10,10,20
7,15,10,10,20
7,16,11,10,20
7,17,12,10,20
7,18,12,10,20
7,19,13,10,20
7,20,13,10,20
7,21,14,10,20
7,22,12,10,20
7,23,12,10,20
7,24,12,10,20
7,25,11,10,20
7,26,11,10,20
7,27,11,10,20
7,28,12,10,20
7,29,11,10,20
7,30,11,10,20
7,31,11,10,20
7,32,11,10,20
7,33,12,10,20
7,34,12,10,20
7,35,11,10,20
7,36,11,10,20
7,37,12,10,20
7,38,11,10,20
7,39,11,10,20
7,40,11,10,20
7,41,9,10,20
7,42,12,10,20
7,43,10,10,20
7,44,12,10,20
7,45,12,10,20
7,46,12,10,20
7,47,12,10,20
7,48,11,10,20
7,49,11,10,20
7,50,11,10,20
7,51,11,10,20
8,0,11,10,20
8,1,12,10,20
8,2,12,10,20
8,3,10,10,20
8,4,11,10,20
8,5,11,10,20
8,6,11,10,20
8,7,12,10,20
8,8,10,10,20
8,9,11,10,20
8,10,12,10,20
8,11,11,10,20
8,12,11,10,20
8,13,11,10,20
8,14,12,10,20
8,15,12,10,20
8,16,13,10,20
8,17,11,10,20
8,18,12,10,20
8,19,12,10,20
8,20,10,10,20
8,21,10,10,20
8,22,10,10,20
8,23,11,10,20
8,24,11,10,20
8,25,12,10,20
8,26,12,10,20
8,27,12,10,20
8,28,10,10,20
8,29,11,10,20
8,30,12,10,20
8,31,13,10,20
8,32,12,10,20
8,33,11,10,20
8,34,11,10,20
8,35,11,10,20
8,36,11,10,20
8,37,11,10,20
8,38,10,10,20
8,39,11,10,20
8,40,12,10,20
8,41,11,10,20
8,42,11,10,20
8,43,12,10,20
8,44,11,10,20
8,45,11,10,20
8,46,11,10,20
8,47,11,10,20
8,48,11,10,20
8,49,11,10,20
8,50,10,10,20
8,51,13,10,20
9,0,11,10,20
9,1,11,10,20
9,2,12,10,20
9,3,13,10,20
9,4,12,10,20
9,5,11,10,20
9,6,13,10,20
9,7,12,10,20
9,8,12,10,20
9,9,13,10,20
9,10,11,10,20
9,11,11,10,20
9,12,11,10,20
9,13,11,10,20
9,14,11,10,20
9,15,11,10,20
9,16,11,10,20
9,17,12,10,20
9,18,12,10,20
9,19,11,10,20
9,20,12,10,20
9,21,12,10,20
9,22,12,10,20
9,23,11,10,20
9,24,12,10,20
9,25,12,10,20
9,26,11,10,20
9,27,11,10,20
9,28,12,10,20
9,29,11,10,20
9,30,11,10,20
9,31,11,10,20
9,32,12,10,20
9,33,11,10,20
9,34,11,10,20
9,35,11,10,20
9,36,11,10,20
9,37,11,10,20
9,38,12,10,20
9,39,12,10,20
9,40,13,10,20
9,41,11,10,20
9,42,11,10,20
9,43,11,10,20
9,44,11,10,20
9,45,13,10,20
9,46,11,10,20
9,47,11,10,20
9,48,12,10,20
9,49,11,10,20
9,50,11,10,20
9,51,11,10,20
10,0,11,10,20
10,1,11,10,20
10,2,11,10,20
10,3,11,10,20
10,4,10,10,20
10,5,11,10,20
10,6,11,10,20
10,7,11,10,20
10,8,11,10,20
10,9,12,10,20
10,10,11,10,20
10,11,11,10,20
10,12,13,10,20
10,13,12,10,20
10,14,11,10,20
10,15,12,10,20
10,16,12,10,20
10,17,12,10,20
10,18,12,10,20
10,19,12,10,20
10,20,10,10,20
10,21,12,10,20
10,22,12,10,20
10,23,11,10,20
10,24,13,10,20
10,25,12,10,20
10,26,12,10,20
10,27,11,10,20
10,28,11,10,20
10,29,12,10,20
10,30,13,10,20
10,31,13,10,20
10,32,11,10,20
10,33,11,10,20
10,34,10,10,20
10,35,10,10,20
10,36,12,10,20
10,37,13,10,20
10,38,12,10,20
10,39,12,10,20
10,40,11,10,20
10,41,11,10,20
10,42,13,10,20
10,43,11,10,20
10,44,12,10,20
10,45,12,10,20
10,46,12,10,20
10,47,11,10,20
10,48,11,10,20
10,49,11,10,20
10,50,10,10,20
10,51,11,10,20
11,0,11,10,20
11,1,11,10,20
11,2,11,10,20
11,3,11,10,20
11,4,11,10,20
11,5,12,10,20
11,6,11,10,20
11,7,13,10,20
11,8,11,10,20
11,9,12,10,20
11,10,12,10,20
11,11,10,10,20
11,12,11,10,20
11,13,12,10,20
11,14,11,10,20
11,15,11,10,20
11,16,11,10,20
11,17,11,10,20
11,18,11,10,20
11,19,12,10,20
11,20,11,10,20
11,21,12,10,20
11,22,11,10,20
11,23,10,10,20
11,24,10,10,20
11,25,10,10,20
11,26,12,10,20
11,27,11,10,20
11,28,11,10,20
11,29,11,10,20
11,30,11,10,20
11,31,12,10,20
11,32,12,10,20
11,33,11,10,20
11,34,11,10,20
11,35,12,10,20
11,36,13,10,20
11,37,12,10,20
11,38,11,10,20
11,39,11,10,20
11,40,12,10,20
11,41,11,10,20
11,42,11,10,20
11,43,11,10,20
11,44,12,10,20
11,45,12,10,20
11,46,13,10,20
11,47,12,10,20
11,48,12,10,20
11,49,10,10,20
11,50,12,10,20
11,51,11,10,20
12,0,12,10,20
12,1,11,10,20
12,2,11,10,20
12,3,10,10,20
12,4,11,10,20
12,5,11,10,20
12,6,10,10,20
12,7,11,10,20
12,8,11,10,20
12,9,11,10,20
12,10,11,10,20
12,11,9,10,20
12,12,9,10,20
12,13,10,10,20
12,14,11,10,20
12,15,11,10,20
12,16,11,10,20
12,17,12,10,20
12,18,13,10,20
12,19,12,10,20
12,20,11,10,20
12,21,12,10,20
12,22,12,10,20
12,23,11,10,20
12,24,11,10,20
12,25,11,10,20
12,26,12,10,20
12,27,10,10,20
12,28,11,10,20
12,29,11,10,20
12,30,12,10,20
12,31,11,10,20
12,32,12,10,20
12,33,11,10,20
12,34,11,10,20
12,35,12,10,20
12,36,10,10,20
12,37,11,10,20
12,38,12,10,20
12,39,11,10,20
12,40,10,10,20
12,41,12,10,20
12,42,11,10,20
12,43,11,10,20
12,44,10,10,20
12,45,12,10,20
12,46,11,10,20
12,47,12,10,20
12,48,12,10,20
12,49,13,10,20
12,50,12,10,20
12,51,11,10,20
13,0,12,10,20
13,1,13,10,20
13,2,11,10,20
13,3,12,10,20
13,4,12,10,20
13,5,11,10,20
13,6,12,10,20
13,7,11,10,20
13,8,12,10,20
13,9,12,10,20
13,10,11,10,20
13,11,13,10,20
13,12,10,10,20
13,13,12,10,20
13,14,11,10,20
13,15,11,10,20
13,16,11,10,20
13,17,10,10,20
13,18,11,10,20
13,19,11,10,20
13,20,12,10,20
13,21,11,10,20
13,22,12,10,20
13,23,11,10,20
13,24,11,10,20
13,25,12,10,20
13,26,11,10,20
13,27,11,10,20
13,28,12,10,20
13,29,12,10,20
13,30,11,10,20
13,31,11,10,20
13,32,12,10,20
13,33,12,10,20
13,34,11,10,20
13,35,11,10,20
13,36,10,10,20
13,37,12,10,20
13,38,11,10,20
13,39,12,10,20
13,40,11,10,20
13,41,11,10,20
13,42,11,10,20
13,43,14,10,20
13,44,13,10,20
13,45,11,10,20
13,46,11,10,20
13,47,12,10,20
13,48,11,10,20
13,49,13,10,20
13,50,12,10,20
13,51,12,10,20
14,0,11,10,20
14,1,11,10,20
14,2,9,10,20
14,3,10,10,20
14,4,12,10,20
14,5,11,10,20
14,6,12,10,20
14,7,13,10,20
14,8,12,10,20
14,9,11,10,20
14,10,11,10,20
14,11,10,10,20
14,12,12,10,20
14,13,11,10,20
14,14,12,10,20
14,15,10,10,20
14,16,11,10,20
14,17,11,10,20
14,18,12,10,20
14,19,11,10,20
14,20,11,10,20
14,21,11,10,20
14,22,11,10,20
14,23,13,10,20
14,24,12,10,20
14,25,11,10,20
14,26,12,10,20
14,27,12,10,20
14,28,10,10,20
14,29,11,10,20
14,30,11,10,20
14,31,11,10,20
14,32,11,10,20
14,33,11,10,20
14,34,13,10,20
14,35,10,10,20
14,36,11,10,20
14,37,12,10,20
14,38,11,10,20
14,39,11,10,20
14,40,14,10,20
14,41,13,10,20
14,42,11,10,20
14,43,11,10,20
14,44,12,10,20
14,45,12,10,20
14,46,11,10,20
14,47,13,10,20
14,48,12,10,20
14,49,12,10,20
14,50,11,10,20
14,51,10,10,20
15,0,12,10,20
15,1,13,10,20
15,2,13,10,20
15,3,12,10,20
15,4,11,10,20
15,5,11,10,20
15,6,11,10,20
15,7,11,10,20
15,8,12,10,20
15,9,12,10,20
15,10,11,10,20
15,11,12,10,20
15,12,11,10,20
15,13,13,10,20
15,14,12,10,20
15,15,13,10,20
15,16,11,10,20
15,17,11,10,20
15,18,12,10,20
15,19,11,10,20
15,20,10,10,20
15,21,11,10,20
15,22,10,10,20
15,23,12,10,20
15,24,10,10,20
15,25,10,10,20
15,26,12,10,20
15,27,12,10,20
15,28,11,10,20
15,29,12,10,20
15,30,11,10,20
15,31,10,10,20
15,32,12,10,20
15,33,11,10,20
15,34,11,10,20
15,35,12,10,20
15,36,11,10,20
15,37,12,10,20
15,38,12,10,20
15,39,13,10,20
15,40,12,10,20
15,41,12,10,20
15,42,12,10,20
15,43,12,10,20
15,44,12,10,20
15,45,11,10,20
15,46,12,10,20
15,47,11,10,20
15,48,11,10,20
15,49,12,10,20
15,50,11,10,20
15,51,12,10,20
16,0,11,10,20
16,1,11,10,20
16,2,11,10,20
16,3,11,10,20
16,4,10,10,20
16,5,11,10,20
16,6,11,10,20
16,7,10,10,20
16,8,12,10,20
16,9,11,10,20
16,10,11,10,20
16,11,11,10,20
16,12,11,10,20
16,13,12,10,20
16,14,12,10,20
16,15,13,10,20
16,16,12,10,20
16,17,11,10,20
16,18,12,10,20
16,19,11,10,20
16,20,11,10,20
16,21,11,10,20
16,22,11,10,20
16,23,12,10,20
16,24,13,10,20
16,25,12,10,20
16,26,11,10,20
16,27,12,10,20
16,28,11,10,20
16,29,11,10,20
16,30,11,10,20
16,31,10,10,20
16,32,10,10,20
16,33,11,10,20
16,34,10,10,20
16,35,10,10,20
16,36,10,10,20
16,37,11,10,20
16,38,11,10,20
16,39,12,10,20
16,40,12,10,20
16,41,13,10,20
16,42,12,10,20
16,43,12,10,20
16,44,11,10,20
16,45,12,10,20
16,46,11,10,20
16,47,11,10,20
16,48,12,10,20
16,49,11,10,20
16,50,11,10,20
16,51,10,10,20
17,0,11,10,20
17,1,10,10,20
17,2,10,10,20
17,3,11,10,20
17,4,12,10,20
17,5,12,10,20
17,6,11,10,20
17,7,11,10,20
17,8,12,10,20
17,9,11,10,20
17,10,11,10,20
17,11,12,10,20
17,12,11,10,20
17,13,10,10,20
17,14,11,10,20
17,15,11,10,20
17,16,11,10,20
17,17,12,10,20
17,18,11,10,20
17,19,10,10,20
17,20,11,10,20
17,21,11,10,20
17,22,10,10,20
17,23,12,10,20
17,24,12,10,20
17,25,12,10,20
17,26,12,10,20
17,27,11,10,20
17,28,11,10,20
17,29,11,10,20
17,30,12,10,20
17,31,11,10,20
17,32,12,10,20
17,33,12,10,20
17,34,11,10,20
17,35,11,10,20
17,36,11,10,20
17,37,11,10,20
17,38,12,10,20
17,39,12,10,20
17,40,11,10,20
17,41,11,10,20
17,42,12,10,20
17,43,11,10,20
17,44,11,10,20
17,45,12,10,20
17,46,11,10,20
17,47,11,10,20
17,48,10,10,20
17,49,10,10,20
17,50,11,10,20
17,51,12,10,20
18,0,10,10,20
18,1,12,10,20
18,2,11,10,20
18,3,11,10,20
18,4,11,10,20
18,5,11,10,20
18,6,12,10,20
18,7,12,10,20
18,8,11,10,20
18,9,12,10,20
18,10,14,10,20
18,11,12,10,20
18,12,13,10,20
18,13,11,10,20
18,14,12,10,20
18,15,11,10,20
18,16,11,10,20
18,17,11,10,20
18,18,10,10,20
18,19,11,10,20
18,20,11,10,20
18,21,11,10,20
18,22,11,10,20
18,23,12,10,20
18,24,11,10,20
18,25,11,10,20
18,26,12,10,20
18,27,11,10,20
18,28,11,10,20
18,29,10,10,20
18,30,10,10,20
18,31,10,10,20
18,32,10,10,20
18,33,12,10,20
18,34,11,10,20
18,35,11,10,20
18,36,11,10,20
18,37,10,10,20
18,38,11,10,20
18,39,11,10,20
18,40,12,10,20
18,41,11,10,20
18,42,11,10,20
18,43,11,10,20
18,44,12,10,20
18,45,12,10,20
18,46,13,10,20
18,47,11,10,20
18,48,12,10,20
18,49,12,10,20
18,50,12,10,20
18,51,12,10,20
19,0,10,10,20
19,1,10,10,20
19,2,11,10,20
19,3,11,10,20
19,4,12,10,20
19,5,11,10,20
19,6,11,10,20
19,7,11,10,20
19,8,11,10,20
19,9,11,10,20
19,10,11,10,20
19,11,12,10,20
19,12,13,10,20
19,13,13,10,20
19,14,12,10,20
19,15,13,10,20
19,16,11,10,20
19,17,11,10,20
19,18,12,10,20
19,19,11,10,20
19,20,12,10,20
19,21,11,10,20
19,22,12,10,20
19,23,12,10,20
19,24,13,10,20
19,25,12,10,20
19,26,11,10,20
19,27,11,10,20
19,28,11,10,20
19,29,10,10,20
19,30,11,10,20
19,31,11,10,20
19,32,12,10,20
19,33,11,10,20
19,34,11,10,20
19,35,10,10,20
19,36,11,10,20
19,37,10,10,20
19,38,11,10,20
19,39,12,10,20
19,40,11,10,20
19,41,12,10,20
19,42,12,10,20
19,43,12,10,20
19,44,11,10,20
19,45,13,10,20
19,46,11,10,20
19,47,13,10,20
19,48,11,10,20
19,49,11,10,20
19,50,11,10,20
19,51,10,10,20
20,0,10,10,20
20,1,10,10,20
20,2,11,10,20
20,3,11,10,20
20,4,12,10,20
20,5,13,10,20
20,6,11,10,20
20,7,12,10,20
20,8,10,10,20
20,9,10,10,20
20,10,11,10,20
20,11,11,10,20
20,12,12,10,20
20,13,12,10,20
20,14,12,10,20
20,15,12,10,20
20,16,13,10,20
20,17,13,10,20
20,18,11,10,20
20,19,11,10,20
20,20,11,10,20
20,21,10,10,20
20,22,10,10,20
20,23,11,10,20
20,24,12,10,20
20,25,11,10,20
20,26,11,10,20
20,27,11,10,20
20,28,11,10,20
20,29,10,10,20
20,30,11,10,20
20,31,10,10,20
20,32,11,10,20
20,33,11,10,20
20,34,11,10,20
20,35,12,10,20
20,36,11,10,20
20,37,11,10,20
20,38,11,10,20
20,39,11,10,20
20,40,12,10,20
20,41,11,10,20
20,42,10,10,20
20,43,11,10,20
20,44,12,10,20
20,45,11,10,20
20,46,11,10,20
20,47,12,10,20
20,48,11,10,20
20,49,12,10,20
20,50,11,10,20
20,51,12,10,20
21,0,11,10,20
21,1,11,10,20
21,2,12,10,20
21,3,12,10,20
21,4,13,10,20
21,5,13,10,20
21,6,11,10,20
21,7,10,10,20
21,8,11,10,20
21,9,11,10,20
21,10,10,10,20
21,11,12,10,20
21,12,12,10,20
21,13,11,10,20
21,14,11,10,20
21,15,11,10,20
21,16,11,10,20
21,17,12,10,20
21,18,12,10,20
21,19,11,10,20
21,20,11,10,20
21,21,11,10,20
21,22,11,10,20
21,23,11,10,20
21,24,11,10,20
21,25,13,10,20
21,26,12,10,20
21,27,11,10,20
21,28,11,10,20
21,29,11,10,20
21,30,12,10,20
21,31,13,10,20
21,32,12,10,20
21,33,11,10,20
21,34,11,10,20
21,35,11,10,20
21,36,11,10,20
21,37,11,10,20
21,38,10,10,20
21,39,10,10,20
21,40,11,10,20
21,41,11,10,20
21,42,11,10,20
21,43,12,10,20
21,44,12,10,20
21,45,12,10,20
21,46,11,10,20
21,47,13,10,20
21,48,12,10,20
21,49,13,10,20
21,50,11,10,20
21,51,12,10,20
22,0,12,10,20
22,1,12,10,20
22,2,13,10,20
22,3,11,10,20
22,4,10,10,20
22,5,11,10,20
22,6,11,10,20
22,7,11,10,20
22,8,11,10,20
22,9,11,10,20
22,10,11,10,20
22,11,13,10,20
22,12,11,10,20
22,13,11,10,20
22,14,12,10,20
22,15,11,10,20
22,16,10,10,20
22,17,11,10,20
22,18,12,10,20
22,19,12,10,20
22,20,11,10,20
22,21,11,10,20
22,22,12,10,20
22,23,11,10,20
22,24,11,10,20
22,25,12,10,20
22,26,11,10,20
22,27,10,10,20
22,28,11,10,20
22,29,12,10,20
22,30,12,10,20
22,31,12,10,20
22,32,12,10,20
22,33,11,10,20
22,34,12,10,20
22,35,11,10,20
22,36,12,10,20
22,37,12,10,20
22,38,12,10,20
22,39,10,10,20
22,40,11,10,20
22,41,11,10,20
22,42,11,10,20
22,43,12,10,20
22,44,11,10,20
22,45,12,10,20
22,46,12,10,20
22,47,11,10,20
22,48,12,10,20
22,49,11,10,20
22,50,10,10,20
22,51,10,10,20
23,0,11,10,20
23,1,11,10,20
23,2,12,10,20
23,3,11,10,20
23,4,11,10,20
23,5,10,10,20
23,6,12,10,20
23,7,11,10,20
23,8,12,10,20
23,9,11,10,20
23,10,11,10,20
23,11,12,10,20
23,12,11,10,20
23,13,11,10,20
23,14,12,10,20
23,15,12,10,20
23,16,12,10,20
23,17,11,10,20
23,18,12,10,20
23,19,11,10,20
23,20,13,10,20
23,21,13,10,20
23,22,12,10,20
23,23,12,10,20
23,24,12,10,20
23,25,12,10,20
23,26,11,10,20
23,27,11,10,20
23,28,12,10,20
23,29,11,10,20
23,30,11,10,20
23,31,11,10,20
23,32,11,10,20
23,33,13,10,20
23,34,12,10,20
23,35,11,10,20
23,36,12,10,20
23,37,12,10,20
23,38,11,10,20
23,39,11,10,20
23,40,11,10,20
23,41,11,10,20
23,42,11,10,20
23,43,11,10,20
23,44,11,10,20
23,45,11,10,20
23,46,12,10,20
23,47,13,10,20
23,48,11,10,20
