"Area","Mean","StdDev","Min","Max","X","Y","Perim.","Major","Minor","Angle","Circ.","IntDen","Median","X.Area","RawIntDen","Slice","AR","Round","Solidity","group_id","num_cells","date","strain","replicate","image_num"
98.83143,255,0,255,255,169.5596,208.0874,42.56072,13.14157,9.57542,64.11022,0.68563,25202.01394,255,100,1196205,1,1.37243,0.72864,0.88996,"6",2,"2025may19","grande","1","003"
79.65927,255,0,255,255,14.0145,46.29446,35.99805,10.51821,9.64283,86.44391,0.77248,20313.11334,255,100,964155,1,1.09078,0.91678,0.91984,"1",1,"2025may19","grande","1","004"
4059.25174,255,0,255,255,510.04094,131.75348,358.34689,77.02397,67.10118,130.85146,0.39724,1035109.19367,255,100,49131105,1,1.14788,0.87117,0.81805,"2",140,"2025may19","grande","1","004"
4054.30069,255,0,255,255,336.35148,132.01147,333.26598,77.64773,66.48097,123.75794,0.45872,1033846.67538,255,100,49071180,1,1.16797,0.85619,0.87496,"3",147,"2025may19","grande","1","004"
127.6318,255,0,255,255,439.64018,136.97722,45.89488,15.60875,10.4112,85.38591,0.76145,32546.10966,255,100,1544790,1,1.49923,0.66701,0.93293,"4",3,"2025may19","grande","1","004"
155.69479,255,0,255,255,582.47297,138.6842,53.78879,15.88489,12.47958,59.48437,0.67624,39702.17075,255,100,1884450,1,1.27287,0.78563,0.90155,"5",3,"2025may19","grande","1","004"
355.19058,255,0,255,255,546.72394,180.9365,92.50518,23.17907,19.51083,63.76228,0.5216,90573.59902,255,100,4299045,1,1.18801,0.84174,0.82929,"6",9,"2025may19","grande","1","004"
106.28961,255,0,255,255,495.06923,181.76875,41.87446,14.54086,9.30702,97.47133,0.76173,27103.84999,255,100,1286475,1,1.56235,0.64006,0.94149,"7",2,"2025may19","grande","1","004"
100.11659,255,0,255,255,494.19226,214.55956,39.77193,14.08973,9.04718,92.75228,0.79536,25529.73145,255,100,1211760,1,1.55736,0.64211,0.94286,"8",2,"2025may19","grande","1","004"
195.78778,255,0,255,255,397.31534,240.30383,59.34572,17.82758,13.98309,120.93311,0.69858,49925.88265,255,100,2369715,1,1.27494,0.78435,0.90337,"9",4,"2025may19","grande","1","004"
72.55925,255,0,255,255,483.7507,270.15716,33.55542,9.99246,9.2455,69.92658,0.8098,18502.6084,255,100,878220,1,1.08079,0.92525,0.93714,"10",1,"2025may19","grande","1","004"
173.07614,255,0,255,255,147.85293,295.03422,55.63623,19.44451,11.33314,96.40637,0.70264,44134.4158,255,100,2094825,1,1.71572,0.58285,0.93046,"11",4,"2025may19","grande","1","004"
111.85164,255,0,255,255,594.01817,319.11422,42.55467,15.56608,9.14899,93.95348,0.77617,28522.16841,255,100,1353795,1,1.7014,0.58775,0.9419,"12",2,"2025may19","grande","1","004"
5532.5163,255,0,255,255,144.7922,393.03157,459.39348,103.9381,67.77321,84.36538,0.32943,1410791.65597,255,100,66962745,1,1.53362,0.65205,0.83886,"13",192,"2025may19","grande","1","004"
180.36577,255,0,255,255,168.98838,8.74581,58.96435,17.82139,12.88614,97.70941,0.65191,45993.27251,255,100,2183055,1,1.38299,0.72307,0.89303,"1",4,"2025may19","grande","1","005"
116.61308,255,0,255,255,456.62861,24.30437,45.53414,16.88597,8.79288,10.50668,0.70678,29736.33493,255,100,1411425,1,1.92041,0.52072,0.9276,"2",2,"2025may19","grande","1","005"
62.8889,255,0,255,255,173.69448,34.98912,32.01286,11.52742,6.94627,15.38288,0.77114,16036.66843,255,100,761175,1,1.65951,0.60259,0.94867,"3",2,"2025may19","grande","1","005"
10206.64657,255,0,255,255,289.83323,95.16564,708.81447,153.07673,84.89537,163.33783,0.25529,2602694.87581,255,100,123536025,1,1.80312,0.55459,0.77012,"4",398,"2025may19","grande","1","005"
195.72457,255,0,255,255,497.57389,89.91929,60.96726,20.15702,12.36315,76.69926,0.6617,49909.7654,255,100,2368950,1,1.63041,0.61334,0.88476,"5",5,"2025may19","grande","1","005"
150.00634,255,0,255,255,131.36729,139.11696,52.06158,16.81818,11.3564,95.45619,0.69548,38251.61783,255,100,1815600,1,1.48094,0.67525,0.90482,"6",4,"2025may19","grande","1","005"
135.80631,255,0,255,255,278.1173,175.94522,49.85944,14.99986,11.5277,83.03485,0.68649,34630.60794,255,100,1643730,1,1.3012,0.76852,0.9054,"7",4,"2025may19","grande","1","005"
