LABEL,TRACK_ID,N_PREDECESSORS,N_SUCCESSORS,DELTA_T,DISTANCE,MEAN_VELOCITY,FIRST,LAST,best_ellipse_angle,best_ellipse_id,ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX,date,strain,strain_date,complete_id,cell_death,timepoint,strain_timepoint,strain_timepoint_date,id_file,big_clust,cell_id,division_number,mother_cell_id,budd_angle,mother_delta_t,max_num_div,TOTAL_DISTANCE,MEAN_SUCCESSORS_DELAY,MEAN_PREDECESSORS_DELAY
Track_0: ID10466 → ID10475,0,0,2,3600.0,1.906529837683076,0.4538042769574697,10466,10475,27.088813586019775,10475,10475,1764.0,86.67517043996297,77.54605485373024,0.0,3600.0,12,3.4820875124370336,1,,12508.79288939052,12612.0,10396.0,13787.0,22165581.0,675.156124734885,-0.9579814554140352,-844.8065694516812,-0.0272306221221962,-0.0300239088005431,5.115010988867954,2.428512948028128,0.4727888184826772,2.1062317139470776,38.09160183378359,25.328671855970104,0.7461295924020948,0.9693318729463304,4.103909730929245,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,False,PA3_t400_6_2023jan12_0001,0,PA3_t400_6_2023jan12_0001_0,NA,NA,1,,,
Track_0: ID10451 → ID10491,0,1,0,900.0,0.6799002055943831,0.3850725311346596,10451,10491,24.487435071337188,10491,10491,1121.0,86.63693544956139,77.68267576411255,0.0,4800.0,16,2.7661748923683773,1,,12382.047279214989,12417.0,10874.0,13572.0,13880275.0,519.0706741157369,-0.9588748247481677,-1112.372170456546,-0.0415084431515884,-0.036633963438902,4.2682531062319615,1.8451223413089068,0.4273862145451707,2.313262926080076,24.03859844538769,20.877541281782477,0.6930431967531753,0.966262975778546,4.258187489795684,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,False,PA3_t400_6_2023jan12_0001,1,PA3_t400_6_2023jan12_0001_1,NA,3600.0,1,,,
Track_63: ID10496 → ID10520,63,0,2,2400.0,1.093086695034733,0.5592550509501227,10496,10520,72.83822200598333,10520,10520,2132.0,111.89270766658568,95.6488994835304,0.0,8700.0,29,3.822956638456642,1,,12835.565666041275,12697.0,10049.0,15761.0,27365426.0,1190.4510342115504,-0.956701885802658,-476.4760989345671,0.0131366172899933,0.0139414108735941,4.906036097089705,3.0150873770751456,1.2712663407437077,1.6271621626597492,45.914368651060606,26.19038468152781,0.841152473265598,0.976653696498054,3.865160822852555,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,False,PA3_t400_6_2023jan12_0003,0,PA3_t400_6_2023jan12_0003_0,NA,NA,3,,,
Track_0: ID15532 → ID10521,0,1,2,6900.0,3.204146026254703,0.6668914131854877,15532,10521,29.922940731552316,10525,10521,1456.0,78.12321558503166,73.46066198532472,0.0,10800.0,36,3.161409066447741,1,,12882.025307797538,12839.0,10218.0,15224.0,18833521.0,720.8132556565484,-0.9569596302386166,-794.7105941820348,-0.0106761601039925,-0.0123988951397275,5.661843876657501,1.8210908676207624,0.5293754415976097,3.1090397394912235,31.39867066411877,27.7167915674613,0.5136120612413458,0.8926277148975229,4.946378264580854,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,False,PA3_t400_6_2023jan12_0002,0,PA3_t400_6_2023jan12_0001_1,2.834127145532541,3600.0,1,,,
Track_106: ID10543 → ID10570,106,0,2,1800.0,0.3656712556684359,0.2906126488334197,10543,10570,55.696533458739644,10570,10570,2060.0,103.16235632890503,76.93427505939361,0.0,14100.0,47,3.758351360680675,1,,12335.083454633674,12495.0,9991.0,14470.0,25422607.0,928.3913212967524,-0.9556554511682688,-572.6669459003926,-0.0463200139984283,-0.0518030695845464,4.478503250360084,3.186642445310355,0.9720875432185194,1.4053987314927363,44.375640102407786,25.358500468960507,0.8671762145085151,0.9793398242697698,3.806722801028181,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,False,PA3_t400_6_2023jan12_0006,0,PA3_t400_6_2023jan12_0006_0,NA,NA,3,,,
Track_63: ID14680 → ID10578,63,1,2,5100.0,5.898365131033579,0.4485166179403472,14680,10578,100.19125476441808,10578,10578,2485.0,113.40486150294684,106.99119800323275,0.0,14100.0,47,4.130440035035614,1,,12373.295062224006,12244.0,9432.0,15360.0,30821878.0,1397.0867808208238,-0.958972769432844,-414.02451304277577,-0.0771393282649578,-0.0090860326380358,5.459032936048943,3.295831399851833,-1.3929248781862182,1.6563447196644705,53.59725105482374,28.9764459536359,0.8021621131043645,0.9814778325123154,3.957982402989891,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,False,PA3_t400_6_2023jan12_0004,0,PA3_t400_6_2023jan12_0003_1,NA,2400.0,4,,,
Track_0: ID10533 → ID10580,0,1,0,3300.0,1.2422208499182996,0.3992109965491607,10533,10580,32.96687187119243,10565,10580,1436.0,78.01212217170178,72.86056580158039,0.0,14400.0,48,3.128190342108843,1,,12833.205038488451,13003.0,10138.0,14665.0,18338650.0,869.7521480089555,-0.95753091568946,-665.3490276805279,-0.0330483424238644,-0.0052819940733373,4.142293426838807,2.402164061636213,0.6278727409709173,1.7244007155853125,30.74228995455358,23.766729669183945,0.6839230260859954,0.9450876612636444,4.2864851073318855,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,False,PA3_t400_6_2023jan12_0002,1,PA3_t400_6_2023jan12_0002_1,16.38851464986916,6900.0,1,,,
Track_63: ID10508 → ID10582,63,1,2,5400.0,1.8815442256064177,0.3379334002242233,10508,10582,74.75435006463752,10582,10582,2197.0,113.5252904109278,97.18670797186664,0.0,14400.0,48,3.883843358589253,1,,12589.79945553539,12392.0,9424.0,15789.0,27747918.0,1365.7358775496132,-0.9575840091331154,-416.2261460207857,0.0028455650291235,0.0392496638818606,4.507509977369945,3.397700479849082,1.304709072299148,1.3266354712850257,47.388535162707065,25.857457824258425,0.8906590771798365,0.9793195463642426,3.75620410365136,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,False,PA3_t400_6_2023jan12_0003,1,PA3_t400_6_2023jan12_0003_1,27.35303275843475,2400.0,3,,,
Track_0: ID15560 → ID10654,0,1,2,6900.0,2.069162359268434,0.557344553486401,15560,10654,46.311455381421474,10654,10654,2139.0,72.46662030839295,67.27902333529703,0.0,18000.0,60,3.831011571827162,1,,12589.032649253732,12580.0,10164.0,14792.0,26990886.0,879.8194814726443,-0.9581409098058222,-655.0408436463244,-0.01578266885854,0.0011642590455939,5.0435104435944575,2.9160081906975366,0.8082870887817515,1.7295940593321868,46.10805476207985,26.279312119199297,0.8389936584451115,0.9832491968793028,3.8701303513372576,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,False,PA3_t400_6_2023jan12_0005,0,PA3_t400_6_2023jan12_0002_1,NA,6900.0,2,,,
Track_63: ID14731 → ID10706,63,1,2,5100.0,5.008488149514023,0.4573575131034167,14731,10706,107.41160457167292,10706,10706,2232.0,111.13190601238428,117.4714184421885,0.0,19500.0,65,3.9180861124437776,1,,11973.2504456328,12005.0,9135.0,15053.0,26867974.0,1170.9179748435245,-0.9608660004693502,-502.1392626407429,-0.0503932601782736,0.0498504189874202,5.713226866560414,2.76354236904128,-1.266906045963702,2.0673563505170467,48.22784164379038,28.009938626098705,0.7724731195409537,0.9796721311475408,4.033325239704926,2023jan12,PA3,PA3_2023jan12,PA3_t400_6_2023jan12,NA,t400,PA3_t400,PA3_t400_2023jan12,2023jan12_pa3-t400_6,False,PA3_t400_6_2023jan12_0008,0,PA3_t400_6_2023jan12_0004_1,NA,5100.0,3,,,
