"","LABEL","TRACK_ID","N_PREDECESSORS","N_SUCCESSORS","DELTA_T","DISTANCE","MEAN_VELOCITY","FIRST","LAST","best_ellipse_angle","best_ellipse_id","ID","QUALITY","POSITION_X","POSITION_Y","POSITION_Z","POSITION_T","FRAME","RADIUS","VISIBILITY","MANUAL_SPOT_COLOR","MEAN_INTENSITY_CH1","MEDIAN_INTENSITY_CH1","MIN_INTENSITY_CH1","MAX_INTENSITY_CH1","TOTAL_INTENSITY_CH1","STD_INTENSITY_CH1","CONTRAST_CH1","SNR_CH1","ELLIPSE_X0","ELLIPSE_Y0","ELLIPSE_MAJOR","ELLIPSE_MINOR","ELLIPSE_THETA","ELLIPSE_ASPECTRATIO","AREA","PERIMETER","CIRCULARITY","SOLIDITY","SHAPE_INDEX","date","strain","strain_date","complete_id","cell_death","timepoint","strain_timepoint","strain_timepoint_date","id_file","big_clust","cell_id","division_number","mother_cell_id","budd_angle","mother_delta_t","max_num_div","TOTAL_DISTANCE","MEAN_SUCCESSORS_DELAY","MEAN_PREDECESSORS_DELAY","minutes","hours","mother_delta_hours","transfer","unique_id_branch"
"11","Track_180: ID15981 → ID15981",180,0,2,0,0,NA,15981,15981,NA,NA,15981,-1,121.100256342323,83.6552649051604,0,19500,65,3.23960862979058,1,NA,11109.7634408602,10999,8829,13352,17564536,985.724271254931,-0.0455613605218519,-1.07603903990887,0,0,3.23960862979058,3.23960862979058,0,1,32.9712161945035,20.3550613437123,1,1,3.54490770181103,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0012","1","PA3_t400_6_2023jan12_0012_0",NA,NA,1,NA,NA,NA,0,0,NA,400,"PA3_t400_6_2023jan12_180"
"12","Track_63: ID10583 → ID10712",63,1,2,5400,0.919584027466718,0.3023644196891,10583,10712,99.0171831840281,10712,10712,2514,113.962477542095,107.398280765876,0,19800,66,4.1486431842794,1,NA,12107.8071713147,11803,9304,15446,30390596,1426.23586492408,-0.959816247858528,-405.547519333307,-0.0403354061933731,-0.0114680975898573,5.45662003344542,3.29736348652539,1.72817524467811,1.65484334855522,54.0707059928708,29.3584591382663,0.788325160419433,0.977626459143968,3.99256723200198,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0004","2","PA3_t400_6_2023jan12_0004_1",7.22034980725485,5100,4,NA,NA,NA,90,1.5,1.41666666666667,400,"PA3_t400_6_2023jan12_63"
"13","Track_180: ID15965 → ID15965",180,1,0,0,0,NA,15965,15965,NA,NA,15965,-1,121.100256342323,83.6552649051604,0,19800,66,3.23960862979058,1,NA,11128.9101834282,11042,8793,13718,17594807,940.993434528962,-0.0441181658331628,-1.09171500722836,0,0,3.23960862979058,3.23960862979058,0,1,32.9712161945035,20.3550613437123,1,1,3.54490770181103,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0012","2","PA3_t400_6_2023jan12_0012_1",NA,0,1,NA,NA,NA,0,0,0,400,"PA3_t400_6_2023jan12_180"
"14","Track_106: ID15338 → ID10683",106,1,2,5700,4.41070523722842,0.399668878641776,15338,10683,50.8118746196408,10683,10683,2339,97.8925637689854,69.1785785857765,0,20100,67,4.00497795191728,1,NA,12471.1822827939,12502,9676,15536,29282336,1055.6917371461,-0.95555608398516,-507.977368666242,0.0106380096339556,-0.0335025013429652,5.10793928593623,3.17361464950494,0.886834194123144,1.60950205051928,50.3906698835052,27.5358235376026,0.835148789910181,0.976438698915763,3.8790287988695,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0007","1","PA3_t400_6_2023jan12_0006_1",4.8846588390988,1800,1,NA,NA,NA,95,1.58333333333333,0.5,400,"PA3_t400_6_2023jan12_106"
"15","Track_106: ID10581 → ID10689",106,1,2,5700,0.509386005884321,0.300311594328792,10581,10689,45.6801365716429,10689,10689,2282,103.376780157169,77.2100773895483,0,20100,67,3.95549735362405,1,NA,11902.7440944882,12077,9091,14391,27209673,1060.64469666242,-0.956774872803356,-496.798926381471,0.0013083166405172,-0.0363383836055363,4.95726446487209,3.21981564403845,0.797268500861195,1.53961127372325,49.1532308408824,26.8003680061099,0.859964291348196,0.97983697983698,3.82265164466367,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0006","2","PA3_t400_6_2023jan12_0006_1",NA,1800,3,NA,NA,NA,95,1.58333333333333,0.5,400,"PA3_t400_6_2023jan12_106"
"16","Track_63: ID10587 → ID10695",63,1,2,5400,0.686177990973013,0.523511839692812,10587,10695,86.0543983623175,10695,10695,2040,114.177464573364,97.2767685631659,0,20100,67,3.73503998717473,1,NA,12377.6213687838,12269,10091,14968,25138949,1212.66180898539,-0.957666971834399,-461.809287675494,-0.0013769836821454,-0.023073799678149,4.49596366245247,3.16071028582263,1.50193205020817,1.42245358032943,43.8268627878533,25.0676630663812,0.876440727520417,0.978146013448607,3.78654965796902,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0003","3","PA3_t400_6_2023jan12_0003_2",NA,5400,3,NA,NA,NA,90,1.5,1.5,400,"PA3_t400_6_2023jan12_63"
"17","Track_63: ID14738 → ID10700",63,1,2,5400,3.84461476500392,0.620934760446981,14738,10700,38.5069634208897,10700,10700,1796,119.813688666051,102.87791731533,0,20100,67,3.50659230113284,1,NA,11643.1169916435,11527,9951,13532,20899395,924.091578827588,-0.959963748207164,-604.206878725578,-0.0350580860982872,-0.0128571686227165,4.26755239308519,2.92746173671341,0.672073056330302,1.45776538752519,38.629618808837,23.9527733233645,0.846094121173447,0.972109396154887,3.8538569772588,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0009","1","PA3_t400_6_2023jan12_0003_2",36.2473866437478,5400,1,NA,NA,NA,90,1.5,1.5,400,"PA3_t400_6_2023jan12_63"
"18","Track_140: ID15678 → ID15678",140,0,2,0,0,NA,15678,15678,NA,NA,15678,-1,80.2689565055214,86.5770255821052,0,20100,67,2.65281150638743,1,NA,11580.0820130475,11503,9716,14653,12425428,823.711037843126,-0.047956655824924,-1.4163119345085,0,0,2.65281150638743,2.65281150638743,0,1,22.1086720641727,16.6681062796505,1,1,3.54490770181103,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0019","1","PA3_t400_6_2023jan12_0019_0",NA,NA,1,NA,NA,NA,0,0,NA,400,"PA3_t400_6_2023jan12_140"
"19","Track_140: ID15664 → ID15664",140,1,0,0,0,NA,15664,15664,NA,NA,15664,-1,80.317856265805,86.5281258218216,0,20400,68,2.65281150638743,1,NA,11334.6234855545,11393,9306,13610,12162051,801.203708402777,-0.0590748333028257,-1.77640326741874,0,0,2.65281150638743,2.65281150638743,0,1,22.1086720641727,16.6681062796505,1,1,3.54490770181103,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0019","2","PA3_t400_6_2023jan12_0019_1",NA,0,1,NA,NA,NA,0,0,0,400,"PA3_t400_6_2023jan12_140"
"20","Track_63: ID10707 → ID10761",63,1,0,1200,0.558897313821823,0.401734007192391,10707,10761,91.4496762308368,10761,10761,1391,114.306162346173,97.8413668009007,0,21600,72,3.08574794635563,1,NA,11749.6107913669,11639,10107,14033,16331959,781.070773048929,-0.959643413979749,-715.415847978075,-0.0188259192965092,0.0489945259705097,3.54462435871622,2.74686401246395,1.59609737940367,1.29042586113925,29.9137438129713,20.4646951924223,0.897573605365908,0.977496483825598,3.74170802630872,"2023jan12","PA3","PA3_2023jan12","PA3_t400_6_2023jan12",NA,"t400","PA3_t400","PA3_t400_2023jan12","2023jan12_pa3-t400_6","False","PA3_t400_6_2023jan12_0003","4","PA3_t400_6_2023jan12_0003_3",60.2658379920587,5400,3,NA,NA,NA,20,0.333333333333333,1.5,400,"PA3_t400_6_2023jan12_63"
