LABEL,TRACK_ID,N_PREDECESSORS,N_SUCCESSORS,minutes,FIRST,LAST,d1_id,d1_minutes,d2_id,d2_minutes,diff_minutes,mother_id,mother_minutes,daughter_id,daughter_minutes,date,strain,timepoint,strain_timepoint,complete_id,id_file
Track_106: ID33075 → ID28281,106,1,2,105.0,33075,28281,33117,125,28249,120,5,28249,120,33117,125,2022sep30,PA1,t1000,PA1_t1000,PA1_t1000_1_2022sep30,2022sep30_gob2149_1
Track_34: ID32410 → ID28292,34,1,2,100.0,32410,28292,32473,115,32482,120,5,32482,120,32473,115,2022sep30,PA1,t1000,PA1_t1000,PA1_t1000_1_2022sep30,2022sep30_gob2149_1
Track_34: ID32502 → ID28790,34,1,2,100.0,32502,28790,32559,100,28775,105,5,28775,105,32559,100,2022sep30,PA1,t1000,PA1_t1000,PA1_t1000_1_2022sep30,2022sep30_gob2149_1
Track_106: ID28484 → ID28766,106,1,2,95.0,28484,28766,28737,100,33195,100,0,28737,100,33195,100,2022sep30,PA1,t1000,PA1_t1000,PA1_t1000_1_2022sep30,2022sep30_gob2149_1
Track_86: ID27623 → ID27688,86,0,2,100.0,27623,27688,32915,110,27721,110,0,27721,110,32915,110,2022sep30,PA1,t1000,PA1_t1000,PA1_t1000_1_2022sep30,2022sep30_gob2149_1
Track_34: ID27629 → ID27675,34,0,2,90.0,27629,27675,27671,120,32249,135,15,27671,120,32249,135,2022sep30,PA1,t1000,PA1_t1000,PA1_t1000_1_2022sep30,2022sep30_gob2149_1
Track_12: ID28546 → ID28763,12,0,2,60.0,28546,28763,33575,135,28733,135,0,28733,135,33575,135,2022sep30,PA1,t1000,PA1_t1000,PA1_t1000_1_2022sep30,2022sep30_gob2149_1
Track_368: ID13336 → ID13324,368,0,2,5.0,13336,13324,13312,80,13299,85,5,13312,80,13299,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_432: ID14199 → ID14197,432,0,2,5.0,14199,14197,14176,75,14189,75,0,14189,75,14176,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_312: ID2126 → ID2224,312,0,2,45.0,2126,2224,2241,90,13027,90,0,2241,90,13027,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
